City;Ward;Match ID;New ID;Mahalla Name;Settlement Name;Households;Population;Settlement Age;Condition of access roads;Availability of drains;Electricity coverage;Solid waste collection service;Access to piped water supply;Availability of hygienic toilet;Street lighting;Attendance of children at school;Households with employment;Household income;Social problems;Land tenure security;Housing condition;Risk of eviction;Land Ownership;Type of Occupancy;Total Score
Cox`s Bazar;8;1500806003;;Baitus Ijjot Area;Baitus Ijjot Area Bosote-3;17;76;46;2;2;4;1;1;1;1;4;3;4;2;4;1;4;4;4;42
Cox`s Bazar;8;1500806004;;Baitus Ijjot Area;Baitus Ijjot Area Bosote-4;9;40;45;2;2;4;1;1;1;1;4;3;3;3;4;1;4;4;4;42
Cox`s Bazar;8;1500807001;; Extended Boidogona;Jadiya Pahar;40;200;50;2;2;4;1;1;1;1;4;3;4;2;4;1;4;4;4;42
Cox`s Bazar;8;1500807002;; Extended Boidogona;Ahamdiya Jame Masjeed-1;16;72;60;2;2;4;1;1;1;1;4;3;4;2;4;1;4;4;4;42
Cox`s Bazar;8;1500807003;; Extended Boidogona;Ahamdiya Jame Masjeed-2;10;45;60;2;2;4;1;1;1;1;4;3;4;2;4;1;4;4;4;42
Cox`s Bazar;9;1500901001;;Lokonath Polli;Loknath Polli;20;85;52;2;3;4;4;1;1;2;3;3;4;3;1;1;2;1;1;36
Cox`s Bazar;9;1500901002;;Lokonath Polli;Nurul Hok Ar Bari Elaka;14;65;7;2;2;4;3;1;2;3;4;4;4;2;1;1;3;1;4;41
Cox`s Bazar;9;1500901003;;Lokonath Polli;Loknath Mandirer Purbo Pashe;20;85;50;2;3;2;4;3;1;2;4;3;4;3;1;1;2;1;1;37
Cox`s Bazar;9;1500902001;;Horizon Para;Horijon Polli;10;45;70;2;2;4;1;1;1;1;3;3;4;2;2;1;2;2;1;32
Cox`s Bazar;9;1500903001;;Jolodas Para;Rajnodro (Suchona) Mikho Bari 1No. Goli;20;90;120;2;2;4;2;1;2;2;3;2;2;3;3;2;2;3;4;39
Cox`s Bazar;9;1500903002;;Jolodas Para;Shiv Mandhir Ar Pashe 3no. Goli;40;180;120;2;2;4;2;1;2;2;3;2;2;3;3;3;2;3;4;40
Cox`s Bazar;9;1500904001;;Khaza Manjil South East;Amin Fokir Bari;70;320;30;1;1;3;1;2;2;1;3;3;3;3;2;2;1;3;2;33
Cox`s Bazar;9;1500904002;;Khaza Manjil South East;Khaja Manjil;70;250;30;2;1;3;2;2;2;2;3;3;3;3;1;1;1;3;2;34
Cox`s Bazar;9;1500904003;;Khaza Manjil South East;Khaja Manjil-1;150;650;13;1;2;3;1;1;1;1;3;3;3;2;1;1;2;2;1;28
Cox`s Bazar;9;1500904004;;Khaza Manjil South East;Jiya Nagar;65;300;14;2;2;3;2;1;1;1;3;3;3;2;1;1;2;2;1;30
Cox`s Bazar;9;1500904005;;Khaza Manjil South East;Pahartoli Purbo Pash;45;190;16;2;2;3;2;2;1;1;3;3;3;3;1;1;2;2;2;33
Cox`s Bazar;9;1500904006;;Khaza Manjil South East;Badsha Gola Bosoty-1;60;240;45;3;4;4;3;3;2;4;4;3;3;3;4;1;4;4;4;53
Cox`s Bazar;9;1500904007;;Khaza Manjil South East;Dokhin Para;40;160;20;3;2;4;2;2;2;4;4;3;2;3;4;1;4;4;4;48
Cox`s Bazar;9;1500904008;;Khaza Manjil South East;Mowlobi Para;35;140;25;3;2;4;2;2;2;3;3;3;3;3;4;1;3;4;4;46
Cox`s Bazar;9;1500905001;;Khaza Manjil West;Sonar Para Jame Masjeed Ar Uttar Pashe;200;900;25;3;3;4;2;2;2;2;4;3;3;3;1;1;2;2;1;38
Cox`s Bazar;9;1500905002;;Khaza Manjil West;Sonar Para Jame Masjeed;50;230;25;2;2;3;2;2;2;2;3;3;3;3;1;2;2;2;2;36
Cox`s Bazar;9;1500906001;;Badshar Ghona;Badsha Ghoni Uttar Faruk Masjeed;181;880;21;1;1;3;2;1;1;3;3;3;3;3;4;1;4;4;4;41
Cox`s Bazar;9;1500906002;;Badshar Ghona;Mowlobi Para;44;180;22;1;2;3;2;2;1;3;3;3;3;3;1;1;2;2;1;33
Cox`s Bazar;9;1500906003;;Badshar Ghona;Badsha Ghona Now-Bahini;160;740;14;1;2;3;2;1;1;2;4;3;3;2;1;1;1;2;1;30
Cox`s Bazar;9;1500906004;;Badshar Ghona;Malek Sordar Bari;150;420;14;3;2;3;1;1;1;2;3;3;3;3;2;2;2;3;4;38
Cox`s Bazar;9;1500906005;;Badshar Ghona;Siraj Goni;80;320;30;3;2;3;2;2;2;2;3;3;3;3;4;1;3;4;4;44
Cox`s Bazar;9;1500907001;;Mohazerpara;Mohajer Para. Councilor Ar Barir Pashe;60;300;40;2;3;4;3;3;1;3;4;3;3;3;1;1;1;2;2;39
Cox`s Bazar;9;1500908001;;Koborsthan Para;Koboresthan Para;70;315;40;2;2;4;3;2;1;3;4;3;3;3;1;1;2;2;2;38
Cox`s Bazar;9;1500909001;;Ghonar Para;Ghona Para(Pahare);35;150;40;3;3;4;2;1;2;2;4;3;4;3;3;3;3;3;4;47
Cox`s Bazar;9;1500909002;;Ghonar Para;Ghona Para (Mandir Ar Pashe);20;90;40;3;3;4;2;1;1;2;4;4;4;3;3;2;3;3;4;46
Cox`s Bazar;9;1500909003;;Ghonar Para;Ghona Para Alomgir Tawarer Uttar;12;50;40;2;2;4;2;1;1;2;4;3;4;3;3;2;2;3;4;42
Cox`s Bazar;9;1500909004;;Ghonar Para;Ghona Para (Alomgir Tawarer Purbo Pashe);20;100;40;2;3;4;2;1;2;2;4;3;4;3;3;3;3;3;4;46
Cox`s Bazar;9;1500910001;;South Ghnar Para;Dokhin Ghonar Para Kaderiya School Ar Pichone;40;180;30;2;2;4;2;2;1;2;4;3;3;3;1;1;2;2;1;35
Cox`s Bazar;9;1500910002;;South Ghnar Para;Dokhin Gonar Para;100;400;40;2;2;4;2;3;1;3;4;3;3;3;1;2;2;2;1;38
Cox`s Bazar;9;1500910003;;South Ghnar Para;Dokhin Gonar Oara Sarcite House Ar Pashe;20;80;40;2;1;4;1;1;1;4;3;3;3;3;1;1;2;2;1;33
Cox`s Bazar;9;1500911001;;Hindu Para;Hindu Para Paharer Modha;100;450;56;2;2;4;1;1;2;1;4;3;4;2;4;1;2;3;4;40
Cox`s Bazar;9;1500911002;;Hindu Para;Sri Radha Mandir;50;250;56;2;2;4;1;1;2;1;4;3;3;3;2;2;1;3;4;38
Cox`s Bazar;9;1500911003;;Hindu Para;Hindu Para;150;560;55;2;2;4;2;1;2;2;4;3;4;3;4;2;3;3;4;45
Cox`s Bazar;10;1501001001;;Mohazer Para;Masjeed Vita;20;95;30;2;2;4;2;1;1;1;4;3;4;2;1;1;1;2;1;32
Cox`s Bazar;10;1501001002;;Mohazer Para;Kormuja.Amon Driver;35;150;52;2;2;3;3;1;1;3;3;3;3;2;1;1;1;2;1;32
Cox`s Bazar;10;1501001003;;Mohazer Para;Ajijer Bari Thake Aneser Bari;40;180;53;3;2;3;3;1;1;2;3;3;3;2;1;1;1;2;1;32
Cox`s Bazar;10;1501001004;;Mohazer Para;Nur Muhammad Ar Bari Thake Akusader Bari;45;212;56;2;1;4;1;1;1;1;4;3;4;2;1;1;1;1;1;29
Cox`s Bazar;10;1501001005;;Mohazer Para;Jalal Hosan Ar Bari Thake Altaj Mistry Ar Bari;22;100;53;1;2;2;1;1;1;1;3;3;3;3;1;2;1;2;1;28
Cox`s Bazar;10;1501001006;;Mohazer Para;Jafor Mistry Ar Bari Thake Hosan Ahomoder Bari;28;152;53;1;1;3;1;1;1;1;3;3;2;2;1;1;1;2;1;25
Cox`s Bazar;10;1501002001;;Stadium para and Officers colony;Shabu Vai Ar Office Ar Colony;10;45;100;2;3;4;1;1;1;1;4;3;4;2;3;2;2;2;1;36
