Poor Settlement Name;Poor Settlement-ID (DB);Poor Settlement Name (DB);Mahalla-ID (DB);Mahalla Name (DB);Ward-ID (DB);Ward Name (DB);Similarity (%);verify status;Coordinates
Bander School Road;;;;;;;;1;
Chuyal Tuli Lain;;;;;;;;1;
Shan Sufe Anayat Ullah (ra.) Jame Masjeed;;;;;;;;1;
Feringy Bazar Vandary Bali o sakor Ali Colony;;;;;;;;1;
Golam Rasum Sotto Bari;;;;;;;;1;
Boder Alom Dovaser Bari;;;;;;;;1;
Jahangir Alomer Bari;;;;;;;;1;
Abdul Gofur Sotta Bari;;;;;;;;1;
Noya Para;;;;;;;;1;
Gonga Bari Tek Paka;;;;;;;;1;
Ayakul Nagar Drim Fectory;;;;;;;;1;
Ayakub Nagar Loteyar Ghat Dovosha Colony;;;;;;;;1;
Mabud Dovash Colony;;;;;;;;1;
Raju Colony;;;;;;;;1;
Abdul Hafej Dovosh Colony;;;;;;;;1;
Momin Dobosh Colony;;;;;;;;1;
Ayakub Nagar Progoty Songho;;;;;;;;1;
Ayakub Nagar Latu Dovosher Bari;;;;;;;;1;
Brig Ghat Sahaji Para;;;;;;;;1;
Green View;;;;;;;;1;
Shamoli;;;;;;;;1;
Soraipara;;;;;;;;1;
Kazir Dighi;;;;;;;;1;
Loharpool Area;;;;;;;;1;
Mugi Farm Songlogno Area;;;;;;;;1;
Chudu Chowdhuri Bari Songlongo;;;;;;;;1;
Jabed Colony College Road;;;;;;;;1;
Jarif Ali Shah Abashik Elaka;;;;;;;;1;
Boshor Colony;;;;;;;;1;
Poschimpara (Library);;;;;;;;1;
Shil para;;;;;;;;1;
Dhopapara;;;;;;;;1;
Durgapara;;;;;;;;1;
Jelepara;;;;;;;;1;
Railbit Bosti; Sagor Par;;;;;;;1;
Hossain Chowdhury Bari Songlongo Elaka;;;;;;;;1;
I Block;;;;;;;;1;
J Block;;;;;;;;1;
A Block;;;;;;;;1;
Chaitannyagoli;;;;;;;;1;
Al-Amin masjid ko.;;;;;;;;1;
Reyajuddin Bazar;;;;;;;;1;
Jublie road;;;;;;;;1;
Mominer Bar, ranir Dighi;;;;;;;;1;
Ranir dighi Par;;;;;;;;1;
Nondonshonon 2no. Goli By Lane;;;;;;;;1;
Nnondonkan Police Fari;;;;;;;;1;
Baki soddar Bari, Enayet Bazar;;;;;;;;1;
Baki soddar Bari, Poschim Enayet Bazar;;;;;;;;1;
AB Banker Goli,Enayet Bazar;;;;;;;;1;
Lovelane, Anondo Club Goli;;;;;;;;1;
Mohila Colleger Pasher Goli, Enayet Bazar;;;;;;;;1;
Gowalpara, Tulatola;;;;;;;;1;
Tulatoli Colony;;;;;;;;1;
Mali Para;;;;;;;;1;
Tulatoli;;;;;;;;1;
Nurse Quarter + Bazar;;;;;;;;1;
24 Quarter Dakhin;;;;;;;;1;
Boilar colony;;;;;;;;1;
Boilar colony Balimat;;;;;;;;1;
14 Jamtola;;;;;;;;1;
Anindo club Uttor;;;;;;;;1;
Akter Miya Colonu;;;;;;;;1;
Sekandar Colony;;;;;;;;1;
Rohoman Colony;;;;;;;;1;
Alauddin Colony;;;;;;;;1;
Akbar Colony;;;;;;;;1;
Kalo showdagorer Bari;;;;;;;;1;
Kobirder Bari;;;;;;;;1;
Raja miar Colony;;;;;;;;1;
Shahabuddin Colony, Khalifa potti;;;;;;;;1;
Sottar Colony, Khalifapotti;;;;;;;;1;
Burir Colony Khalifapotti;;;;;;;;1;
Belayet Alir Bari;;;;;;;;1;
Late Azizer Bari;;;;;;;;1;
Mohiullah colony;;;;;;;;1;
Hafez Colony;;;;;;;;1;
Mali Potti;;;;;;;;1;
Kabir Colony;;;;;;;;1;
Boson Colony;;;;;;;;1;
Babir sow.. Colony;;;;;;;;1;
Salam Sowdagorer Bari;;;;;;;;1;
Kobir Diverer Bari;;;;;;;;1;
Sher Ali membar Bari;;;;;;;;1;
Taher Colony;;;;;;;;1;
Ochi mia Sow. Bari;;;;;;;;1;
Azad Colony;;;;;;;;1;
Jafar Ali Colony;;;;;;;;1;
Murad Colony;;;;;;;;1;
Sekandar Colony;;;;;;;;1;
Dubaiwala colony;;;;;;;;1;
Kamal sow. Colony;;;;;;;;1;
Khoir Mohammad Colony;;;;;;;;1;
Islam Colony;;;;;;;;1;
Hasi mia colony;;;;;;;;1;
Abul Kalamsow. Colony;;;;;;;;1;
Suraiya Colony;;;;;;;;1;
Shofi sow. colony;;;;;;;;1;
Peyar mohammad colony;;;;;;;;1;
Khabirul Haque Colony;;;;;;;;1;
Lalu majhir Bari;;;;;;;;1;
Mokbul Ali sow. Bari;;;;;;;;1;
Selim Ukeler Bari;;;;;;;;1;
Toyou Ali Chairman Bari;;;;;;;;1;
Fatemar Bari;;;;;;;;1;
Sofe Secritory Ar Bari;;;;;;;;1;
Mohsenar Bari;;;;;;;;1;
Nur Jahaner Bari;;;;;;;;1;
Rokeyar Bari Ar Poschim;;;;;;;;1;
Bash Bariya;;;;;;;;1;
Rofabad Dokhin Para;;;;;;;;1;
Textaile Colony;;;;;;;;1;
Ful Bagan;;;;;;;;1;
Belaliner Purbo O Poschim Pashe;;;;;;;;1;
Hasane Bonospoty Mil Sonlogno Bosoty;;;;;;;;1;
Rail Line Sonlogno Bosoty;;;;;;;;1;
Romju Sordar Bari Sonlogno Bosoty;;;;;;;;1;
Sordar Bari;;;;;;;;1;
Somaj Seba Road Ar Poschim Onso;;;;;;;;1;
Anoyara Sowdagor Bari;;;;;;;;1;
Thakur Bari;;;;;;;;1;
Tula Company;;;;;;;;1;
Majar Thaka Salamot Alir Bari Pojinto;;;;;;;;1;
Uttor Para Bosoty;;;;;;;;1;
Poschim Para-1;;;;;;;;1;
Poschim Para-2;;;;;;;;1;
Julman Sha Colony;;;;;;;;1;
Hanjar Bag Colony;;;;;;;;1;
Oniban Club;;;;;;;;1;
Hilview 1 No. Moore;;;;;;;;1;
Korob Sthan Ar Ashe Pashe;;;;;;;;1;
Sahanar Bari;;;;;;;;1;
Rahman Sovapoty Ar Bari;;;;;;;;1;
Tutul Der Bari;;;;;;;;1;
Malekder Bari;;;;;;;;1;
Rokeyar Bari;;;;;;;;1;
Boreshal Colony;;;;;;;;1;
Renuyarar Bari Dokhin;;;;;;;;1;
Bahar Netar Bari;;;;;;;;1;
Milon Hajir Bari;;;;;;;;1;
Soreyar Netar Bari;;;;;;;;1;
Ibrahim Keraner Bari;;;;;;;;1;
Sahnaj Ar Barir Pora Colony;;;;;;;;1;
Dhama Bacchur Bari;;;;;;;;1;
Sobahan Khondokar Ar Bari;;;;;;;;1;
Seraj Ar Bari Uttor;;;;;;;;1;
Khokoner Bari;;;;;;;;1;
Anoyarer Bari;;;;;;;;1;
Hasenar Bari;;;;;;;;1;
Jobedar Bari Ppurbo Pash;;;;;;;;1;
Bether Bari;;;;;;;;1;
Manoyarar Bari Dokhin Pashe;;;;;;;;1;
Jahera Gofur Master Ar Bari;;;;;;;;1;
Belkis Ar Bari;;;;;;;;1;
Rongpur Bohoalne;;;;;;;;1;
Oruner Clony;;;;;;;;1;
Marjeder Bari;;;;;;;;1;
Soref Ar Colony;;;;;;;;1;
Cristhan Gris Ar Pashe;;;;;;;;1;
Bashar Market Ar Poschem Para;;;;;;;;1;
Bibi Hat Kacha Bazar 2 No. Goli;;;;;;;;1;
Kacha Bazar 1 No. Goli;;;;;;;;1;
Aturar Depu, Ajij Colony;;;;;;;;1;
Hamjar Degi Thaka Rahmaneya School Pojonto;;;;;;;;1;
Taherbad Thake M.Najer Ali Bedhaloi Pojonto;;;;;;;;1;
Aturur Depu Jangl Para;;;;;;;;1;
Jahangir Para;;;;;;;;1;
Ajij Ullah Sorok Sonlogno Bosoty;;;;;;;;1;
Najir Kha Goli Sonlogno Sarak;;;;;;;;1;
Jelany Laine Sonlogno Bosoty;;;;;;;;1;
Hamjar Bag Publick School;;;;;;;;1;
Urcchosha Club Ar Shamne;;;;;;;;1;
Green View Socity Ar Uttor Pashe;;;;;;;;1;
Hamja Kha Laine Ses Matha Kala Pul;;;;;;;;1;
Masjed Ar Shamne;;;;;;;;1;
Puler Gula;;;;;;;;1;
Sha Amanot Society;;;;;;;;1;
Shre Cort Society;;;;;;;;1;
Boro Bari Goli;;;;;;;;1;
Vandary Lain;;;;;;;;1;
Green View Abashek Alaka;;;;;;;;1;
Soniya Madrasha Road;;;;;;;;1;
Madrashar Dokhin Pashe;;;;;;;;1;
Haji Colony;;;;;;;;1;
Asia Fen Company Ar Pashe;;;;;;;;1;
Hadu Majir Para;;;;;;;;1;
Hindu Para Kali Bari;;;;;;;;1;
Sunneya Madrasha Uttor Pashe;;;;;;;;1;
Mahabub Munser Bari;;;;;;;;1;
Khoteber Hat Siddik Market at Poschim Pahe;;;;;;;;1;
Ispa Tawar Ar Poschim Pashe;;;;;;;;1;
Kala Gurer Poschim Pashe;;;;;;;;1;
Kalapuler Purbo Pashe;;;;;;;;1;
Alomoneyam Goli;;;;;;;;1;
Muhammad Pur Boro Pukur Par;;;;;;;;1;
Amdad Ali Road;;;;;;;;1;
Mobarok Ali Sattar Bari;;;;;;;;1;
Laver Society Ismayel Co. Ar Ashe Pashe;;;;;;;;1;
Station Colony Ar Bostee;;;;;;;;1;
Jut Rail O Rail Dech;;;;;;;;1;
Doker Par Colony;;;;;;;;1;
Mali Colony;;;;;;;;1;
Ward Office Sonlogno Rail Veu;;;;;;;;1;
Pai Madar Bari 1 No. Goli;;;;;;;;1;
D.T Road Rail Det;;;;;;;;1;
Comars College Nai Lain;;;;;;;;1;
Enganeyar Colony;;;;;;;;1;
Patwary Colony;;;;;;;;1;
A/12 B;;;;;;;;1;
Rejaul Korim Colony;;;;;;;;1;
D Ar P Colony;;;;;;;;1;
Nasir Sha Majar;;;;;;;;1;
Station Road Jame Masjeed Colony;;;;;;;;1;
Station Road Jennah Para;;;;;;;;1;
Station Road Miya Bari;;;;;;;;1;
Abdul Hamid Ar Bosoty;;;;;;;;1;
Kobir Sodagor Bari;;;;;;;;1;
Abdul Kalem Bari;;;;;;;;1;
Ayakul Miyar Bari;;;;;;;;1;
Abdul Malek Bari;;;;;;;;1;
Amin Ullah Bari;;;;;;;;1;
Rahman Comisonar Bari;;;;;;;;1;
Morhum Rajjaker Bari;;;;;;;;1;
Sordar Bari;;;;;;;;1;
Korim Sodagar Bari;;;;;;;;1;
Abdul Sattar Bari;;;;;;;;1;
Ali Ahamod Bari;;;;;;;;1;
Coitonno Goli Miya Bari;;;;;;;;1;
Shib Sonkor Bari;;;;;;;;1;
Usuf Miya Matre seden;;;;;;;;1;
Post Office Goli;;;;;;;;1;
Munstar Goli;;;;;;;;1;
Sahajan Goli;;;;;;;;1;
Besi Goli;;;;;;;;1;
Set Para;;;;;;;;1;
City Gramar School;;;;;;;;1;
Jakir Hossain College Goli;;;;;;;;1;
Rasal Colony;;;;;;;;1;
Dovas Colony;;;;;;;;1;
Chondro Bindu Colony;;;;;;;;1;
Majar Goli;;;;;;;;1;
Chairman Bari;;;;;;;;1;
Sanraij Garamar School;;;;;;;;1;
7 Tola Colony;;;;;;;;1;
Monohar Colony;;;;;;;;1;
Bandor Colony;;;;;;;;1;
Bondur School Goli;;;;;;;;1;
Sahaji Para;;;;;;;;1;
Napit Para;;;;;;;;1;
Jele Para;;;;;;;;1;
Abdul Ajij Colony;;;;;;;;1;
Nur Sha Majar;;;;;;;;1;
Oyajer Para School Pashe;;;;;;;;1;
8 No. Goli o Jele Para;;;;;;;;1;
Boijjer Baper Bari;;;;;;;;1;
Khula Miya Sotto Bari o Para;;;;;;;;1;
S.A Jafor Colony;;;;;;;;1;
Musa Colony;;;;;;;;1;
Bella O Jahangir Sotto Vara Ghor;;;;;;;;1;
Aiyub Ali Colony;;;;;;;;1;
Aniser Baper Bari;;;;;;;;1;
Chairman Ar Bari;;;;;;;;1;
Muhammod Soref Ar Bari;;;;;;;;1;
Comisonar Para o Jalir Bari;;;;;;;;1;
Boro Molover Saheber Ar Bari;;;;;;;;1;
Sukkur Sotto Vara Ghor;;;;;;;;1;
Hafej Muhammad Alir Var Ghor;;;;;;;;1;
Abdur Shohan Ar Bari;;;;;;;;1;
Liyakot Alir Colony;;;;;;;;1;
Lija Comiunity Center Colony;;;;;;;;1;
Deloyar Jahan;;;;;;;;1;
Abdul Baker Sar Ar Bedhaloi;;;;;;;;1;
Soiyod Sha Road;;;;;;;;1;
Goni Sattar Colony;;;;;;;;1;
Borhan Uddain Munser Colony;;;;;;;;1;
Lija Colony;;;;;;;;1;
Nur Muhammad Colony;;;;;;;;1;
Pres Kashemer Bari;;;;;;;;1;
Usuf Alir Bari;;;;;;;;1;
Haji Abdul Nur Colony;;;;;;;;1;
