Mahalla Name;Mahalla-ID (DB);Mahalla Name (DB);Ward-ID (DB);Ward Name (DB);Similarity (%);verify status;Coordinates
Police Fari East;14760;Police Fari East;8293;2;100;1;{'type': 'Polygon', 'coordinates': [[[88.89189542566409, 25.79628077333658], [88.89237617770848, 25.7963800023923], [88.89267942759037, 25.796409189857265], [88.89276844266506, 25.796415840530017], [88.8928382469242, 25.796359629226583], [88.89294370103578, 25.796372377863594], [88.89300033729914, 25.79631307977847], [88.89304657748347, 25.796307458829325], [88.89312874506214, 25.796340935304904], [88.89323067841075, 25.796377548622605], [88.89343105228312, 25.796471653696223], [88.89349018315264, 25.7964989817612], [88.8934290656404, 25.79711193574139], [88.89307031960155, 25.79709009218299], [88.89269037179263, 25.797077642980113], [88.89212116104183, 25.796982519364526], [88.89204623509806, 25.797660472159603], [88.89186198301488, 25.797606506574276], [88.89154604016748, 25.797522867031805], [88.89189542566409, 25.79628077333658]]]}
Police Fari West;14761;Police Fari West;8293;2;100;1;{'type': 'Polygon', 'coordinates': [[[88.89029646786618, 25.79677053311837], [88.89102041220238, 25.79528731487441], [88.89105802914644, 25.79530677743081], [88.8913685316372, 25.795467427094838], [88.89164117240006, 25.79559493650723], [88.89200967592352, 25.79570227057799], [88.89204923483472, 25.795705558418913], [88.89206886159508, 25.79572362670324], [88.89189542566409, 25.79628077333658], [88.89170841237605, 25.796945624294487], [88.89170681490644, 25.796951303423242], [88.89157780934752, 25.79694493065966], [88.89059170577946, 25.79683706632007], [88.89029646786618, 25.79677053311837]]]}
Golahat Panir Tanki;14762;Golahat Panir Tanki;8293;2;100;1;{'type': 'Polygon', 'coordinates': [[[88.89154604016748, 25.797522867031805], [88.89186198301488, 25.797606506574276], [88.89204623509806, 25.797660472159603], [88.89212116104183, 25.796982519364526], [88.89269037179263, 25.797077642980113], [88.89307031960155, 25.79709009218299], [88.8934290656404, 25.79711193574139], [88.89337392960114, 25.79779123456532], [88.89379671627113, 25.797880461300664], [88.89379548539559, 25.798013050780266], [88.89434155972903, 25.79804228994045], [88.89517642382401, 25.7980952239095], [88.8951673150076, 25.79865063647368], [88.89489026762145, 25.798641363818007], [88.89488294831749, 25.79857680064075], [88.8942500777826, 25.798514649718943], [88.89423451020798, 25.798912327869495], [88.89428118418782, 25.799002276582524], [88.89432882426931, 25.79941477033336], [88.8939844757544, 25.799404984170078], [88.89391883974507, 25.799651763814865], [88.8934401909295, 25.799608700984457], [88.89334162034984, 25.79956494584707], [88.89269746871418, 25.7994381946911], [88.8926426783919, 25.799369686199846], [88.89271257533595, 25.79909068586957], [88.8926458422147, 25.79902925394318], [88.89264647497244, 25.79896116748987], [88.89271590542263, 25.79873233610314], [88.89274079022769, 25.79861067803851], [88.89270176869076, 25.798549457140176], [88.89261876788338, 25.798534490101236], [88.89255965288876, 25.798505369913894], [88.89250140389444, 25.798383078764708], [88.89243111221452, 25.798278614629574], [88.89185460059032, 25.79811653755604], [88.89177901414295, 25.798368615983872], [88.89128198220436, 25.79824536899937], [88.89137419772469, 25.797979082620856], [88.89154604016748, 25.797522867031805]]]}
Golahat Jame Mosque Rail Colony;14763;Golahat Jame Mosque Rail Colony;8293;2;100;1;{'type': 'Polygon', 'coordinates': [[[88.8897145712659, 25.79795667909622], [88.88975920458395, 25.79787118114787], [88.89029646786618, 25.79677053311837], [88.89059170577946, 25.79683706632007], [88.89157780934752, 25.79694493065966], [88.89170681490644, 25.796951303423242], [88.89154604016748, 25.797522867031805], [88.89137419772469, 25.797979082620856], [88.89128198220436, 25.79824536899937], [88.89122204876116, 25.798388193349023], [88.8897145712659, 25.79795667909622]]]}
Golahat Camp-01;14764;Golahat Camp-01;8293;2;100;1;{'type': 'Polygon', 'coordinates': [[[88.89177901414295, 25.798368615983872], [88.89185460059032, 25.79811653755604], [88.89243111221452, 25.798278614629574], [88.89250140389444, 25.798383078764708], [88.89255965288876, 25.798505369913894], [88.89261876788338, 25.798534490101236], [88.89270176869076, 25.798549457140176], [88.89274079022769, 25.79861067803851], [88.89271590542263, 25.79873233610314], [88.89264647497244, 25.79896116748987], [88.8926458422147, 25.79902925394318], [88.89271257533595, 25.79909068586957], [88.8926426783919, 25.799369686199846], [88.89259760471595, 25.79942830989833], [88.89231851636772, 25.799354509245678], [88.89195484098086, 25.799294398555716], [88.89157604201733, 25.79915771834916], [88.89177901414295, 25.798368615983872]]]}
Ghoraghat Rail Colony East;14765;Ghoraghat Rail Colony East;8293;2;100;1;{'type': 'Polygon', 'coordinates': [[[88.89122204876116, 25.798388193349023], [88.89128198220436, 25.79824536899937], [88.89177901414295, 25.798368615983872], [88.89159694404711, 25.79907645728137], [88.89157604201733, 25.79915771834916], [88.89195484098086, 25.799294398555716], [88.89231851636772, 25.799354509245678], [88.89259760471595, 25.79942830989833], [88.8926426783919, 25.799369686199846], [88.89269746871418, 25.7994381946911], [88.89334162034984, 25.79956494584707], [88.89322354575688, 25.799952719276725], [88.89293105995787, 25.799900320299173], [88.89295950410285, 25.79982169432626], [88.8927934340746, 25.799798927435415], [88.89273401870533, 25.799802058777473], [88.89264615900748, 25.799883816006457], [88.89251541844897, 25.79989357158844], [88.89246245500463, 25.800054436980133], [88.89240453322614, 25.80032277708924], [88.89186320793057, 25.800207556601347], [88.89105774397393, 25.79997205627253], [88.89071399495421, 25.799897759413334], [88.89077487825554, 25.799736955126082], [88.89104725513256, 25.798972110114377], [88.89122204876116, 25.798388193349023]]]}
Ghoraghat Rail Colony West;14766;Ghoraghat Rail Colony West;8293;2;100;1;{'type': 'Polygon', 'coordinates': [[[88.88908715413011, 25.799157605537797], [88.88909283941813, 25.799146723569958], [88.8897145712659, 25.79795667909622], [88.89122204876116, 25.798388193349023], [88.89116480404498, 25.798579426134687], [88.89104725513256, 25.798972110114377], [88.8908907025167, 25.79941171737995], [88.89077487825554, 25.799736955126082], [88.89071958850734, 25.79972219836764], [88.89030940863877, 25.79955421632208], [88.88979271000149, 25.799345998708823], [88.88908715413011, 25.799157605537797]]]}
Golahat Camp-02;14767;Golahat Camp-02;8293;2;100;1;{'type': 'Polygon', 'coordinates': [[[88.89184852790345, 25.801119031209037], [88.89176016972382, 25.801083953817265], [88.89164015862093, 25.80104672377423], [88.89159798428709, 25.80104066830243], [88.8915178050564, 25.80103432310561], [88.89151816068264, 25.800996099157004], [88.89149915823812, 25.80099595429709], [88.89127762312916, 25.80097706330593], [88.89121958532142, 25.800971752262434], [88.89124521050574, 25.80082964352904], [88.89127385003817, 25.800701802595402], [88.89121489154658, 25.800684151041608], [88.89111159416443, 25.80066616134765], [88.89093922627222, 25.800582659475243], [88.89091211642028, 25.80054613738025], [88.89083675374482, 25.8004968949122], [88.89077102313757, 25.80047238103807], [88.89073976664105, 25.80046072408308], [88.89065974801575, 25.800437177653585], [88.89056926154524, 25.800403994652314], [88.89060728455269, 25.800303103567245], [88.89061751525821, 25.80026734412974], [88.89071399495421, 25.799897759413334], [88.89105774397393, 25.79997205627253], [88.8917202874063, 25.800165770105377], [88.89186320793057, 25.800207556601347], [88.89205405460368, 25.80024817835736], [88.89240453322614, 25.80032277708924], [88.89248868624456, 25.800341695178815], [88.89250933363445, 25.80039202494046], [88.89246311232905, 25.800537412081162], [88.89234206360744, 25.800498263386864], [88.89223642824948, 25.80050462618333], [88.89221746505544, 25.800557043386394], [88.89219273472287, 25.80066197831684], [88.89218703423462, 25.80070732905447], [88.89214662398629, 25.80079542034866], [88.89212209346358, 25.800878854284157], [88.89209013395187, 25.80090966994691], [88.89200239608908, 25.800921425093403], [88.8919307335327, 25.800907499688318], [88.89190101421669, 25.80092447521356], [88.89190257457064, 25.800983738431903], [88.89187858501231, 25.801065742941535], [88.89184852790345, 25.801119031209037]]]}
Golahat Graveyard Para;14768;Golahat Graveyard Para;8293;2;100;1;{'type': 'Polygon', 'coordinates': [[[88.89056926154524, 25.800403994652314], [88.89018062042707, 25.801607079743416], [88.88993324409594, 25.801528738147887], [88.88972237215913, 25.80149845818007], [88.88927463717735, 25.801394693829245], [88.88898991167615, 25.80135907031694], [88.88878436336282, 25.80132405134725], [88.88857322471354, 25.801322437665302], [88.888324869332, 25.801349209126528], [88.88808698160744, 25.801385616862916], [88.8879143889814, 25.80140229582198], [88.88792083976854, 25.80138994918748], [88.88908715413011, 25.799157605537797], [88.88979271000149, 25.799345998708823], [88.89030940863877, 25.79955421632208], [88.89071958850734, 25.79972219836764], [88.89077487825554, 25.799736955126082], [88.89071399495421, 25.799897759413334], [88.89061751525821, 25.80026734412974], [88.89060728455269, 25.800303103567245], [88.89056926154524, 25.800403994652314]]]}
Cinemahall Golahat Camp-03;14769;Cinemahall Golahat Camp-03;8293;2;100;1;{'type': 'Polygon', 'coordinates': [[[88.89000588944425, 25.80195813257569], [88.88975036946833, 25.802787391031305], [88.8891917525741, 25.80289975141058], [88.88906100461915, 25.802578753372018], [88.88866284163808, 25.8026643609331], [88.8885974686256, 25.80254666184153], [88.88853804138888, 25.802562712986926], [88.88852020912853, 25.80238616267234], [88.88851426311174, 25.802241712059615], [88.88838946527513, 25.802247064394773], [88.88793781769633, 25.802343373234343], [88.88756936851411, 25.80242898041604], [88.88742892041806, 25.80233140624259], [88.8879143889814, 25.80140229582198], [88.88808698160744, 25.801385616862916], [88.888324869332, 25.801349209126528], [88.88857322471354, 25.801322437665302], [88.88878436336282, 25.80132405134725], [88.88898991167615, 25.80135907031694], [88.88927463717735, 25.801394693829245], [88.88972237215913, 25.80149845818007], [88.88993324409594, 25.801528738147887], [88.89018062042707, 25.801607079743416], [88.89008621534177, 25.80197350271557], [88.89000588944425, 25.80195813257569]]]}
