City;Ward;Match_ID;New ID;Mahalla Name;Settlement Name;Households;Population;Settlement Age;Condition of access roads;Availability of drains;Electricity coverage;Solid waste collection service;Access to piped water supply;Availability of hygienic toilet;Street lighting;Attendance of children at school;Households with employment;Household income;Social problems;Land tenure security;Housing condition;Risk of eviction;Land Ownership;Type of Occupancy;Total Score
Cumilla;15;11504004;11401504004;Baludom;Sadek Miya Bari;9;40;30;4;4;4;2;3;3;4;3;3;2;3;1;1;1;1;1;40
Cumilla;15;11504005;11401504005;Baludom;Mohoti Bari;13;57;35;4;4;4;2;3;3;3;3;3;3;3;4;3;4;4;4;54
Cumilla;15;11504006;11401504006;Baludom;Akter Miyar Bari;7;30;18;4;4;4;2;3;3;3;3;3;2;3;1;1;1;1;1;39
Cumilla;15;11505001;11401505001;Kotabil Gozar Mar Colony- Telikona Matha;Gozar Mar Colony-1;22;99;20;4;3;4;1;3;1;3;3;2;1;1;1;1;1;1;1;31
Cumilla;15;11505002;11401505002;Kotabil Gozar Mar Colony- Telikona Matha;Gozar Mar Colony-2;20;90;24;4;3;4;1;3;1;3;3;2;1;1;1;1;1;1;1;31
Cumilla;15;11505003;11401505003;Kotabil Gozar Mar Colony- Telikona Matha;Faruk Miyar Bari;32;142;20;4;3;4;1;3;2;3;3;3;2;2;1;1;1;1;1;35
Cumilla;15;11505004;11401505004;Kotabil Gozar Mar Colony- Telikona Matha;Betor Bari (Purbo Pash);17;77;19;4;3;4;1;3;1;3;3;2;1;2;1;1;1;1;1;32
Cumilla;15;11505005;11401505005;Kotabil Gozar Mar Colony- Telikona Matha;Betor Bari (Dokkhin);14;65;17;4;3;3;1;3;3;3;3;3;2;2;1;2;1;1;1;36
Cumilla;15;11505006;11401505006;Kotabil Gozar Mar Colony- Telikona Matha;Rohim Boss Ar Bari;31;139;22;4;3;3;1;3;2;3;3;3;2;1;1;1;1;1;1;33
Cumilla;15;11505007;11401505007;Kotabil Gozar Mar Colony- Telikona Matha;Lotib Miyar Bari;15;68;20;4;4;4;1;3;3;3;3;3;2;2;1;1;1;1;1;37
Cumilla;15;11505008;11401505008;Kotabil Gozar Mar Colony- Telikona Matha;Beter Bari;9;40;17;4;3;4;1;3;3;3;3;3;2;2;2;2;2;1;1;39
Cumilla;15;11505009;11401505009;Kotabil Gozar Mar Colony- Telikona Matha;Rongpurir Bari;6;30;30;4;4;4;2;3;3;3;3;3;2;3;4;3;4;4;4;53
Cumilla;16;11601001;11401601001;Tikkar Chor Uttor;Tikkar Chor Poschim Boshoty;35;180;70;3;4;4;1;1;1;4;4;3;1;1;2;1;1;2;2;35
Cumilla;16;11601002;11401601002;Tikkar Chor Uttor;Tikkar Chor Botir Miyar Road;35;180;55;3;3;4;1;1;1;4;4;3;2;1;4;2;4;4;4;45
Cumilla;16;11601003;11401601003;Tikkar Chor Uttor;Tikkar Chor Masjeed Ar Pichon A;70;350;60;2;2;4;1;1;1;3;4;1;1;2;1;1;1;2;1;28
Cumilla;16;11601004;11401601004;Tikkar Chor Uttor;Selina Apar Boshoty;25;120;20;2;1;4;1;1;1;2;4;1;1;2;1;1;1;2;1;26
Cumilla;16;11601005;11401601005;Tikkar Chor Uttor;Tikkar Chor Sattar Miyar Bari;60;420;50;3;1;4;1;1;1;4;4;2;2;1;1;1;2;3;1;32
Cumilla;16;11602001;11401602001;Tikkar Chor Dokkhin;Tikkar Chor Koboresthan Ar Pichoner Boshoty;50;230;70;2;2;4;1;1;1;4;4;3;1;1;4;2;4;4;4;42
Cumilla;16;11602002;11401602002;Tikkar Chor Dokkhin;Tikkar Chor Mahomar Bari Ar Goli;80;450;80;1;1;4;1;1;1;4;4;3;1;1;4;1;4;4;4;39
Cumilla;16;11602003;11401602003;Tikkar Chor Dokkhin;Tikkar Chor Usuf Miyar Barir Boshoty;15;60;40;2;2;4;1;1;1;4;4;3;1;1;3;1;4;4;4;40
Cumilla;16;11602004;11401602004;Tikkar Chor Dokkhin;Tikkar Chor Ali Hossain Ar Barir Road Boshoty;40;170;70;3;3;4;1;1;1;4;3;3;1;1;4;2;4;4;4;43
Cumilla;16;11602005;11401602005;Tikkar Chor Dokkhin;Tikkar Chor Siddik Miyar Barir Boshoty;60;350;80;3;3;4;1;1;1;2;4;3;1;1;4;1;4;4;4;41
Cumilla;16;11603001;11401603001;Songraish Para to Shaheb Bari;Songraish Mugol Miyar Bari Goli;30;160;80;1;1;4;1;1;1;4;4;3;1;2;1;1;1;2;2;30
Cumilla;16;11603002;11401603002;Songraish Para to Shaheb Bari;Songraish Rayhan Bepary Goli;50;140;60;1;3;4;1;1;1;4;4;2;2;1;4;1;4;4;4;41
Cumilla;16;11603003;11401603003;Songraish Para to Shaheb Bari;Songraish Shabek Councilor Ar Bari;15;70;80;1;1;4;1;1;1;3;4;3;1;1;4;1;4;4;4;38
Cumilla;16;11604001;11401604001;Ambor Ali Shah Mazar To Millon Shomiti;Ambor Ali Baba Mazar Ar Boshoty;145;635;64;1;3;4;1;1;1;4;4;3;1;1;4;1;4;4;4;41
Cumilla;16;11604002;11401604002;Ambor Ali Shah Mazar To Millon Shomiti;Milon Shomiti Ar Boshoty;70;310;150;1;3;4;1;1;1;4;4;3;1;1;4;1;4;4;4;41
Cumilla;16;11604003;11401604003;Ambor Ali Shah Mazar To Millon Shomiti;Sojnagar Bow Bazar Sadek Miyar Bari;50;280;50;1;1;4;1;1;1;3;4;4;1;2;2;1;1;1;2;30
Cumilla;16;11605001;11401605001;Nobogram;Nobogram Lil Miya Bari;500;2520;35;1;1;4;1;2;1;4;4;3;1;1;4;1;4;4;4;40
Cumilla;16;11606001;11401606001;Moddho Para To Gojupoddar Bari;Songrisha Primari School Ar Schmner Boshoty;350;1600;60;2;3;4;1;1;1;4;4;3;1;1;4;1;4;4;4;42
Cumilla;16;11606002;11401606002;Moddho Para To Gojupoddar Bari;Gojupoddar Bari Boshoty;120;710;80;1;1;4;1;1;1;4;4;3;1;1;4;1;4;4;4;39
Cumilla;16;11607001;11401607001;Shaleh School To Purbo Para;Mohon Mitar Bari;8;45;17;2;1;4;1;3;3;4;4;2;1;1;1;1;1;1;1;31
Cumilla;16;11607002;11401607002;Shaleh School To Purbo Para;Fojlok Miyar Bari;15;60;22;1;1;4;1;1;1;1;2;2;1;2;4;1;4;4;4;34
Cumilla;16;11607003;11401607003;Shaleh School To Purbo Para;Sultan Miyar Bari;15;70;25;1;1;4;1;1;1;1;3;2;1;2;4;3;4;4;4;37
Cumilla;16;11607004;11401607004;Shaleh School To Purbo Para;Shenne Bari;15;85;50;1;1;4;1;1;1;1;3;3;1;2;4;1;4;4;4;36
Cumilla;16;11607005;11401607005;Shaleh School To Purbo Para;Coler Pukur Uttor Poschimpar Boshoty;30;170;60;1;1;4;1;1;1;2;4;3;3;2;1;1;1;1;1;28
Cumilla;16;11607006;11401607006;Shaleh School To Purbo Para;Coler Pukurer Bipored Pasher Boshoty;10;70;30;1;1;4;1;1;1;4;4;3;1;1;4;2;4;4;4;40
Cumilla;16;11607007;11401607007;Shaleh School To Purbo Para;Coler Pukurer Purbo Para Boshoty;30;150;35;2;1;4;1;1;2;1;4;2;1;2;4;2;4;4;4;39
Cumilla;16;11607008;11401607008;Shaleh School To Purbo Para;Songrisha Nurul Islamer Bari;20;100;35;4;1;2;1;1;1;4;4;2;1;2;4;2;4;4;4;41
Cumilla;16;11608001;11401608001;Shaleh School To Purbo Para;Jamal Miyar Bari;15;80;35;4;1;4;1;1;1;4;3;2;1;2;4;2;4;4;4;42
Cumilla;16;11608002;11401608002;Shaleh School To Purbo Para;Songrisha Boiragi Para Boshoty-1;30;250;50;4;4;4;1;4;2;4;4;3;2;2;4;2;4;4;4;52
Cumilla;16;11608003;11401608003;Shaleh School To Purbo Para;Songrisha Boiragi Para Boshoty-2;30;150;50;3;1;4;1;1;2;4;4;2;1;2;4;2;4;4;4;43
Cumilla;16;11608004;11401608004;Shaleh School To Purbo Para;Songrisha Noya Bari;15;150;45;4;4;4;1;1;1;4;4;2;1;2;4;2;4;4;4;46
Cumilla;16;11608005;11401608005;Shaleh School To Purbo Para;Gausepark Masjeed Sonlogno Boshoty;30;150;50;4;1;4;1;4;2;1;3;3;1;3;4;2;4;4;4;45
Cumilla;16;11608006;11401608006;Shaleh School To Purbo Para;Songrisha Gos Para;100;405;60;1;1;4;1;1;2;1;3;3;1;2;4;2;4;4;4;38
Cumilla;17;11701001;11401701001;Ma Moni Talikoma - Bokhshi Nagar;Manik Miyar Bari;65;395;145;3;3;4;3;3;1;1;4;4;2;4;4;3;4;4;4;51
Cumilla;17;11701002;11401701002;Ma Moni Talikoma - Bokhshi Nagar;Sowdagor Bari;176;905;135;4;3;4;1;1;1;4;4;4;2;4;4;2;4;4;4;50
Cumilla;17;11702001;11401702001;Bokhshi Nagar-2 No. Muradpur;Pur Bari;160;820;165;2;3;4;3;3;1;4;4;4;4;2;4;1;4;4;4;51
Cumilla;17;11702002;11401702002;Bokhshi Nagar-2 No. Muradpur;Razzak Miyar Bari;128;768;83;4;2;4;2;4;1;4;4;4;1;4;4;1;4;4;4;51
Cumilla;17;11702003;11401702003;Bokhshi Nagar-2 No. Muradpur;Ali Miyar Bari;376;1835;146;2;3;4;3;3;1;4;4;4;1;3;4;1;4;4;4;49
Cumilla;17;11702004;11401702004;Bokhshi Nagar-2 No. Muradpur;Gofur Miyar Bari;36;176;121;4;3;4;1;1;1;4;4;3;2;1;4;2;4;4;4;46
Cumilla;17;11703001;11401703001;2 No. Muradpur Laskpur Par - Pathuriya Para;D.B. Goli;6;33;90;4;3;4;1;1;1;1;4;4;3;3;2;1;2;2;2;38
Cumilla;17;11703002;11401703002;2 No. Muradpur Laskpur Par - Pathuriya Para;Chowdhury Para;620;3200;120;4;4;4;4;3;1;4;4;4;4;3;4;2;4;4;4;57
Cumilla;17;11703003;11401703003;2 No. Muradpur Laskpur Par - Pathuriya Para;Roth Road;40;204;20;4;4;4;3;4;2;3;4;4;4;3;4;2;4;4;4;57
Cumilla;17;11704001;11401704001;Pathuriya Para- Pal Para;Shambar Pukur Par;42;225;125;4;3;4;3;2;1;4;4;4;4;3;4;2;4;4;4;54
Cumilla;17;11704002;11401704002;Pathuriya Para- Pal Para;Monir Miya Goli;22;115;135;4;3;4;3;2;1;2;4;4;3;3;4;1;4;4;4;50
Cumilla;17;11704003;11401704003;Pathuriya Para- Pal Para;Bodir Goli;27;145;130;2;2;4;1;1;1;3;4;4;3;3;4;2;4;4;4;46
Cumilla;17;11704004;11401704004;Pathuriya Para- Pal Para;Mostaqer Goli;12;57;30;4;4;4;1;1;1;2;4;4;3;3;4;1;4;4;4;48
Cumilla;17;11706001;11401706001;Telikona Gobindo Pukur Par- Shapara Uttor;Gobindo Pukur Par;70;360;130;3;2;4;4;4;1;4;4;4;3;4;4;2;4;4;4;55
Cumilla;17;11706002;11401706002;Telikona Gobindo Pukur Par- Shapara Uttor;Hindu Para;31;127;16;4;4;4;3;3;1;4;4;4;3;3;4;2;4;4;4;55
Cumilla;17;11707001;11401707001;Bokhshi Nagar Uccha Rasta- Sujanagar Panir Tangki;Panir Tangki Suroj Miya Bari;32;162;70;4;2;4;2;3;1;4;4;3;3;3;4;1;4;4;4;50
Cumilla;17;11708001;11401708001;Sujanagar Panir Tangki- Sujanagar Poschimpara;Shoipar Colony;95;585;60;3;2;4;2;2;1;4;4;3;4;3;4;1;4;4;4;49
Cumilla;17;11708002;11401708002;Sujanagar Panir Tangki- Sujanagar Poschimpara;Nazrul Miar Colony;45;227;70;3;2;4;2;2;1;4;4;4;4;3;1;1;1;1;1;38
Cumilla;17;11709001;11401709001;Sujanagar Poschimpara-  Sujanagar Purbopara;Hazi Bari;22;89;150;4;3;4;1;4;1;4;4;4;4;3;4;1;4;4;4;53
Cumilla;17;11709002;11401709002;Sujanagar Poschimpara-  Sujanagar Purbopara;Kamar Bari;12;52;150;4;3;4;2;4;1;4;4;4;4;3;4;1;4;4;4;54
Cumilla;17;11709003;11401709003;Sujanagar Poschimpara-  Sujanagar Purbopara;Charu Mia Bari;10;53;150;4;3;4;2;4;1;4;4;4;4;3;4;1;4;4;4;54
Cumilla;17;11709004;11401709004;Sujanagar Poschimpara-  Sujanagar Purbopara;Haridon Bepari;7;35;180;4;3;4;2;4;1;4;4;4;4;3;4;1;4;4;4;54
Cumilla;17;11709005;11401709005;Sujanagar Poschimpara-  Sujanagar Purbopara;Mahlom Mia Bari;20;105;180;4;4;4;1;4;1;4;4;4;4;3;4;1;4;4;4;54
Cumilla;17;11709006;11401709006;Sujanagar Poschimpara-  Sujanagar Purbopara;Master Bari;20;102;180;4;4;4;1;4;1;4;4;4;4;3;4;1;4;4;4;54
Cumilla;17;11709007;11401709007;Sujanagar Poschimpara-  Sujanagar Purbopara;Boro Bari;20;125;200;4;3;4;2;4;1;4;4;4;4;3;4;1;4;4;4;54
Cumilla;17;11710001;11401710001;Telikona Gobindo Pukur Par- Shapara Dokkhin;Monu Miyar Bari;75;405;155;4;4;4;2;4;1;4;4;4;1;4;4;1;4;4;4;53
Cumilla;17;11710002;11401710002;Telikona Gobindo Pukur Par- Shapara Dokkhin;Sorot Sahar Bari;48;315;176;2;4;4;3;3;2;4;4;4;4;4;4;1;4;4;4;55
Cumilla;17;11710003;11401710003;Telikona Gobindo Pukur Par- Shapara Dokkhin;Komol Sahar Bari;160;822;155;4;4;4;2;1;2;4;4;3;3;4;4;1;4;4;4;52
Cumilla;18;11801001;11401801001;Katabil;Robi Das Para;45;210;20;2;1;3;1;1;1;1;3;3;2;2;4;1;4;4;4;37
Cumilla;18;11801002;11401801002;Katabil;Yeasin To Khayrun Nesa;55;235;80;2;1;3;1;1;2;1;3;3;2;2;4;1;4;4;4;38
Cumilla;18;11801003;11401801003;Katabil;Katabil Masjeed  to R.M School;45;200;80;2;1;4;1;2;2;1;3;3;2;2;4;1;4;4;4;40
Cumilla;18;11801004;11401801004;Katabil;Alomgirer Bari;25;120;14;2;1;4;1;1;2;1;2;3;2;2;4;2;4;4;4;39
Cumilla;18;11801005;11401801005;Katabil;Aysha Bari;40;180;50;2;1;4;1;2;3;1;3;2;1;2;4;1;4;4;4;39
Cumilla;18;11802001;11401802001;Hazrat Para;Alomgirer Boshoty;18;86;30;2;1;4;1;2;3;2;3;2;4;3;4;2;4;4;4;45
Cumilla;18;11802002;11401802002;Hazrat Para;Mafiya er Boshoty;20;91;40;2;1;4;1;1;2;1;2;2;3;2;4;2;4;4;4;39
Cumilla;18;11802003;11401802003;Hazrat Para;Jashim Er Boshoty;30;130;50;3;1;4;1;2;2;1;2;2;2;4;4;2;4;4;4;42
Cumilla;18;11802004;11401802004;Hazrat Para;Ramjun Er Boshoty;35;155;60;2;1;3;1;2;2;1;3;2;2;3;4;2;4;4;4;40
Cumilla;18;11803001;11401803001;Housing Estate;Hoghcost Colony;30;130;45;2;1;4;1;1;1;1;2;3;2;2;2;2;2;1;1;28
Cumilla;18;11804001;11401804001;Nurpur Dokkhin (Purbo-Poschim);Ranu Mia Ar Bari;65;240;60;2;3;4;1;1;1;1;2;3;2;2;4;2;4;4;4;40
Cumilla;18;11804002;11401804002;Nurpur Dokkhin (Purbo-Poschim);Charaliya Pukur Par;50;210;55;2;1;4;1;1;1;1;2;3;1;1;2;2;2;1;1;26
Cumilla;18;11804003;11401804003;Nurpur Dokkhin (Purbo-Poschim);Masjeed Bari;60;270;50;2;2;4;1;1;1;1;2;3;3;2;4;2;4;4;4;40
Cumilla;18;11804004;11401804004;Nurpur Dokkhin (Purbo-Poschim);Boro Bari To Shofik Miyar Bari;40;180;90;2;1;4;1;1;1;1;2;3;2;1;3;3;3;4;4;36
Cumilla;18;11804005;11401804005;Nurpur Dokkhin (Purbo-Poschim);Mamun Mia Ar Bari;50;200;70;2;3;4;1;1;1;1;2;3;2;2;4;2;4;4;4;40
Cumilla;18;11804006;11401804006;Nurpur Dokkhin (Purbo-Poschim);Mohuri Bari;30;130;80;2;3;4;1;1;1;1;2;3;2;1;4;3;4;4;4;40
Cumilla;18;11805001;11401805001;Nurpur Uttor;Shokot Akbor To Nur Gate;20;88;40;3;3;4;1;2;1;1;2;3;1;2;3;3;3;1;1;34
Cumilla;18;11805002;11401805002;Nurpur Uttor;Mofu Khondokar Godhirpukur;15;65;50;2;1;4;1;3;1;1;2;3;3;3;4;4;4;4;4;44
Cumilla;18;11805003;11401805003;Nurpur Uttor;Janu Mondar Morog Bepari Bari;50;210;60;3;3;4;1;1;1;1;2;3;2;2;2;2;2;1;1;31
Cumilla;18;11805004;11401805004;Nurpur Uttor;Gudir Pukur Par;50;210;70;2;1;4;1;1;1;1;2;3;2;2;2;2;2;1;1;28
Cumilla;18;11805005;11401805005;Nurpur Uttor;Khili Kona, Sahajahan Miyar Bari;90;420;65;2;2;4;1;1;1;1;2;3;1;1;2;2;2;1;1;27
Cumilla;18;11805006;11401805006;Nurpur Uttor;Nurpur Jame Masjeed;45;200;40;2;1;4;1;1;1;1;2;3;1;1;4;2;4;4;4;36
Cumilla;18;11806001;11401806001;Purbo Gobindopur;Nopur Er Boshoty;40;180;60;2;1;4;1;1;2;1;2;3;2;2;4;2;4;4;4;39
Cumilla;19;11901001;11401901001;Uttor Rosulpur (Dulipara) Purbopara;Shain Tailar;5;24;60;2;1;4;1;1;1;4;4;4;3;4;4;1;4;4;4;46
Cumilla;19;11902001;11401902001;Dokkhin Rosulpur (Purbopara);Hazi Bari;5;22;80;3;1;4;1;1;3;2;4;4;4;3;4;3;4;4;4;49
Cumilla;19;11902002;11401902002;Dokkhin Rosulpur (Purbopara);Kazi Bari;5;25;90;4;4;4;1;1;1;1;4;4;4;4;4;1;4;4;4;49
Cumilla;19;11904001;11401904001;Rajapara 1,2,3;Abason-1;60;265;15;4;4;4;1;1;2;1;3;4;4;2;2;1;2;2;3;40
Cumilla;19;11904002;11401904002;Rajapara 1,2,3;Abason-2;60;232;15;4;4;4;1;1;2;1;3;4;4;2;1;2;2;2;3;40
Cumilla;19;11904003;11401904003;Rajapara 1,2,3;Abason-3;40;172;15;4;4;4;1;1;2;1;3;4;4;2;2;1;2;2;3;40
Cumilla;19;11904004;11401904004;Rajapara 1,2,3;Babul Miyar Bari;5;23;30;4;4;4;1;1;2;1;3;4;4;2;2;1;2;2;3;40
Cumilla;19;11906001;11401906001;Rajapara Dokkhin Para;Ayub Ali Bari;5;18;40;3;1;4;1;1;1;2;1;3;1;1;4;2;4;4;4;37
Cumilla;19;11906002;11401906002;Rajapara Dokkhin Para;Tor Ali Dorbas Oil Bari;9;40;40;3;1;4;1;1;1;2;1;3;1;1;4;2;4;4;4;37
Cumilla;19;11907001;11401907001;Rajapara Poschim Para;Kazi Bari;10;42;35;3;1;4;1;1;1;2;4;3;1;1;4;2;4;4;4;40
Cumilla;19;11907002;11401907002;Rajapara Poschim Para;Latif Mia Bari;6;26;19;3;1;4;1;1;1;2;4;3;1;1;4;3;4;4;4;41
Cumilla;19;11907003;11401907003;Rajapara Poschim Para;Dubo Mistri Bari;5;22;40;3;1;4;1;1;1;2;4;3;1;1;4;1;4;4;4;39
Cumilla;19;11907004;11401907004;Rajapara Poschim Para;Rafiq Miya Bari;6;26;40;3;1;4;1;1;1;2;1;3;1;1;4;2;4;4;4;37
Cumilla;19;11907005;11401907005;Rajapara Poschim Para;Harun Miya Bari;5;18;30;3;1;4;1;1;1;2;1;3;1;1;4;2;4;4;4;37
Cumilla;19;11908001;11401908001;Noyapara;Sarabod Ali Bari;5;22;70;3;1;4;1;1;1;2;1;3;1;1;4;2;4;4;4;37
Cumilla;19;11908002;11401908002;Noyapara;Abdul Majid Bari;5;25;70;3;1;4;1;1;1;2;1;3;1;1;4;2;4;4;4;37
Cumilla;19;11909001;11401909001;Newra (Uttor);Kamla Bari;7;32;60;3;1;4;1;1;1;2;4;3;1;1;4;4;4;4;4;42
Cumilla;19;11910001;11401910001;Newra (Dokkhin);Jahangir Miya Bari;10;45;70;4;4;4;1;1;2;1;3;4;4;2;2;1;2;2;3;40
Cumilla;19;11910002;11401910002;Newra (Dokkhin);Sardar Bari;5;22;12;4;4;4;1;1;2;1;3;4;4;2;2;1;2;2;3;40
Cumilla;19;11910003;11401910003;Newra (Dokkhin);Baksi Bari;7;30;70;4;4;4;1;1;2;1;3;4;4;2;2;1;2;2;3;40
Cumilla;19;11910004;11401910004;Newra (Dokkhin);Abid Ali Bari;5;22;40;1;2;4;1;1;2;4;4;4;1;4;4;1;4;4;4;45
Cumilla;19;11910005;11401910005;Newra (Dokkhin);Natun Bari;7;32;15;2;1;4;1;1;2;1;4;3;1;3;4;1;4;4;4;40
Cumilla;20;12001001;11402001001;Laxminagar;Alamgirer Bari;12;54;60;1;1;4;1;1;1;4;4;4;4;1;4;1;4;4;4;43
Cumilla;20;12001002;11402001002;Laxminagar;Jamaler Dokan;9;40;25;1;1;4;1;1;1;4;4;4;4;1;4;1;4;4;4;43
Cumilla;20;12001003;11402001003;Laxminagar;Motin Store;12;54;150;3;2;4;1;1;1;4;4;4;4;1;4;1;4;4;4;46
Cumilla;20;12002001;11402002001;Dishabond Paschimpara;Idrisher Dokan (Abashon Prokolpo);78;351;22;2;2;4;1;1;1;4;4;4;4;1;4;1;4;4;4;45
Cumilla;20;12002002;11402002002;Dishabond Paschimpara;Shetu Miya Cha Dokan;82;369;22;2;2;4;1;1;1;4;4;4;4;1;4;1;4;4;4;45
Cumilla;20;12002003;11402002003;Dishabond Paschimpara;Jaforer Dokan;25;112;25;4;1;4;1;1;1;4;4;4;4;1;4;1;4;4;4;46
Cumilla;20;12002004;11402002004;Dishabond Paschimpara;Wahid Ar Dokan;10;45;26;4;1;4;1;1;1;4;4;4;4;3;4;1;4;4;4;48
Cumilla;20;12002005;11402002005;Dishabond Paschimpara;Hazi Aiyub Ali Ar Boshoty;12;54;110;1;1;4;1;1;1;4;3;4;4;2;4;1;4;4;4;43
Cumilla;20;12002006;11402002006;Dishabond Paschimpara;Dulal Hossain Ar Boshoty;20;90;30;1;1;4;1;1;1;4;3;4;4;2;4;1;4;4;4;43
Cumilla;20;12002007;11402002007;Dishabond Paschimpara;Monir Hoser Ar Boshoty;7;31;100;1;2;4;1;1;1;4;4;4;4;1;4;1;4;4;4;44
Cumilla;20;12003001;11402003001;Dishabond Purbo Para;Zakir Hossain Ar Boshoty;5;25;100;1;2;4;1;1;1;4;4;4;4;1;4;1;4;4;4;44
Cumilla;20;12004001;11402004001;Kazipara Purbopara;Boro Bari;20;100;150;2;1;4;1;1;1;4;4;4;4;3;4;1;4;4;4;46
Cumilla;20;12004002;11402004002;Kazipara Purbopara;Molla Bari;15;50;100;2;1;4;1;1;1;4;4;4;4;3;4;1;4;4;4;46
Cumilla;20;12004003;11402004003;Kazipara Purbopara;Member Bari;100;400;150;4;2;4;1;1;1;4;4;4;4;3;4;2;4;4;4;50
Cumilla;20;12004004;11402004004;Kazipara Purbopara;Masjeed Para;30;150;100;3;1;4;1;1;1;4;4;4;4;3;4;1;4;4;4;47
Cumilla;20;12004005;11402004005;Kazipara Purbopara;Mukter Hosen Para;80;250;150;2;1;4;1;1;1;4;4;4;4;3;4;1;4;4;4;46
Cumilla;20;12005001;11402005001;Kazipara Poschimpara;Uttor Bari;150;700;150;2;1;3;1;1;1;3;4;4;4;3;4;1;4;4;4;44
Cumilla;20;12005002;11402005002;Kazipara Poschimpara;Comishonar Ar Bari;30;160;100;3;3;4;1;1;1;4;4;4;4;3;4;1;4;4;4;49
Cumilla;20;12006001;11402006001;Unishar Moddompara;Hazi Bari;27;107;115;2;1;4;1;1;1;3;4;3;2;3;4;1;4;4;4;42
Cumilla;20;12006002;11402006002;Unishar Moddompara;Purnopara;308;1232;135;2;1;4;1;1;1;4;4;3;2;3;4;1;4;4;4;43
Cumilla;20;12007001;11402007001;Unishar Hindu Para;Hindu Para;330;1320;85;2;1;4;1;1;1;1;4;3;2;3;4;3;4;4;4;42
Cumilla;20;12007002;11402007002;Unishar Hindu Para;Fakir Ar Bari;68;272;75;2;1;4;2;1;1;4;4;4;3;3;4;1;4;4;4;46
Cumilla;21;12101001;11402101001;Shaktola (Uttor);Babul Driver;42;190;55;2;1;3;1;1;2;2;2;3;3;3;2;3;2;1;2;33
Cumilla;21;12101002;11402101002;Shaktola (Uttor);Shaktola Sub Bari;48;208;40;2;1;2;2;1;2;1;2;2;2;2;2;2;1;2;2;28
Cumilla;21;12101003;11402101003;Shaktola (Uttor);Gorib Hossain Bari;51;230;10;1;1;4;1;1;2;1;2;2;2;1;1;1;1;2;1;24
Cumilla;21;12101004;11402101004;Shaktola (Uttor);Rail Line West Side;558;2622;12;1;1;4;1;1;1;1;3;2;2;2;1;1;1;2;2;26
Cumilla;21;12102001;11402102001;Shaktola (Dokkhin);Jashim Bari;15;67;45;2;1;3;1;1;1;1;1;3;2;4;4;2;4;4;4;38
Cumilla;21;12102002;11402102002;Shaktola (Dokkhin);Stuf Quarter;10;45;50;2;1;4;2;1;2;2;3;4;4;3;2;2;2;2;2;38
Cumilla;21;12102003;11402102003;Shaktola (Dokkhin);Belayet Bari;19;105;18;2;1;2;1;1;2;1;2;2;3;2;2;1;2;1;2;27
Cumilla;21;12102004;11402102004;Shaktola (Dokkhin);Purbo Kaitar Pukur;11;55;12;1;2;4;1;1;1;1;2;2;2;2;4;1;4;4;4;36
Cumilla;21;12102005;11402102005;Shaktola (Dokkhin);Ayub Alir Bari;20;115;48;3;2;4;2;1;2;2;2;3;3;2;4;2;4;4;4;44
Cumilla;21;12103001;11402103001;Jangalia;Forazi Bari;10;50;40;3;1;3;1;1;1;3;2;3;3;2;2;2;2;1;2;32
Cumilla;21;12103002;11402103002;Jangalia;Sorder Bari;50;210;60;2;2;4;1;1;2;2;3;3;3;3;4;2;4;4;4;44
Cumilla;21;12103003;11402103003;Jangalia;Wahad Ali;6;30;50;2;1;4;1;1;1;4;4;3;4;3;4;3;4;4;4;47
Cumilla;21;12104001;11402104001;Ramnagar;Shorboth Ali;7;35;60;2;1;4;1;1;2;4;4;3;2;4;4;3;4;4;4;47
Cumilla;21;12104002;11402104002;Ramnagar;Bochoni Bari;10;46;40;2;1;4;1;1;2;4;2;3;2;3;4;3;4;4;4;44
Cumilla;21;12104003;11402104003;Ramnagar;Shiraj Member;5;23;60;2;1;4;1;1;2;4;4;3;2;4;4;3;4;4;4;47
Cumilla;21;12104004;11402104004;Ramnagar;Ali Newaz Bari Boshoty;10;43;20;1;1;4;1;1;2;4;4;4;2;4;4;3;3;1;3;42
Cumilla;21;12104005;11402104005;Ramnagar;Akther Bari;8;32;50;2;1;4;1;1;3;4;4;3;3;4;4;3;4;4;4;49
Cumilla;21;12104006;11402104006;Ramnagar;Johir Bari;5;15;60;2;1;4;1;1;2;4;4;2;2;3;4;3;4;4;4;45
Cumilla;21;12104007;11402104007;Ramnagar;Sohel Bari;4;15;60;3;1;4;1;1;3;4;4;3;2;4;4;3;4;4;4;49
Cumilla;21;12105001;11402105001;Ashrafpur (Dokkhin);Hasan Mia Bari;9;21;80;4;3;4;3;1;2;4;4;3;3;3;4;3;4;4;4;53
Cumilla;21;12106001;11402106001;Ashrafpur (Modho);Miazi;16;85;70;2;1;4;1;1;1;3;3;4;2;3;4;2;4;4;4;43
Cumilla;21;12106002;11402106002;Ashrafpur (Modho);Eklam Bagan;13;38;65;2;3;4;3;1;2;4;4;4;3;2;4;3;4;4;4;51
Cumilla;21;12106003;11402106003;Ashrafpur (Modho);Usuf Miyar Bari;29;230;100;4;4;4;3;1;1;4;4;3;3;3;4;3;4;4;4;53
Cumilla;21;12106004;11402106004;Ashrafpur (Modho);Shadiq Miyar Bari;17;93;65;4;3;4;3;1;2;4;4;4;4;3;4;2;4;4;4;54
