City;Ward;Match_ID;New ID;Mahalla Name;Settlement Name;Households;Population;Settlement Age;Condition of access roads;Availability of drains;Electricity coverage;Solid waste collection service;Access to piped water supply;Availability of hygienic toilet;Street lighting;Attendance of children at school;Households with employment;Household income;Social problems;Land tenure security;Housing condition;Risk of eviction;Land Ownership;Type of Occupancy;Total Score
Cumilla;6;10604004;11400604004;Amir Dighi;Amir Dighir Uttor Par;75;350;40;3;1;4;1;2;1;2;2;2;3;3;2;1;2;2;2;33
Cumilla;6;10605001;11400605001;Gorzan Khola Purbopara;Gorzan Khola Purbo Para-1;60;250;50;3;2;3;3;1;2;4;3;3;2;3;4;1;4;4;4;46
Cumilla;6;10605002;11400605002;Gorzan Khola Purbopara;Gorzan Khola Purbo Para-2;6;30;100;4;3;4;2;4;3;4;4;2;2;4;4;2;4;4;4;54
Cumilla;6;10606001;11400606001;Gorzan Khola Poschimpara;Pani Unnayan Board Ar Shamne;10;45;100;3;3;4;2;4;3;4;3;3;3;4;4;3;4;4;3;54
Cumilla;6;10606002;11400606002;Gorzan Khola Poschimpara;Sordar Bari;9;40;100;1;3;4;4;4;3;3;3;3;3;4;4;4;4;4;4;55
Cumilla;6;10606003;11400606003;Gorzan Khola Poschimpara;Gorzan Khola Rama Kando Profesor Goli;8;40;100;3;3;4;4;4;3;4;3;3;3;4;4;2;4;4;4;56
Cumilla;6;10606004;11400606004;Gorzan Khola Poschimpara;Chandi Kala Bari;16;125;10;3;3;4;4;3;3;3;4;3;3;4;2;2;2;2;3;48
Cumilla;6;10607001;11400607001;Jamtola;Jamil Ar Boshoty;20;90;40;1;3;4;1;2;2;2;3;3;3;3;4;2;4;4;4;45
Cumilla;6;10607002;11400607002;Jamtola;Rishi Potti;80;350;35;3;3;4;2;3;3;3;3;3;3;4;4;2;4;4;4;52
Cumilla;6;10608001;11400608001;Gangchor;Meher Ali Mazar;35;150;40;1;1;4;1;1;3;2;2;3;3;3;4;1;4;4;4;41
Cumilla;6;10608002;11400608002;Gangchor;Malek Miya;15;70;20;1;1;4;1;3;4;3;2;3;3;2;3;1;4;4;4;43
Cumilla;6;10608003;11400608003;Gangchor;Gangchor Mor;35;145;40;1;1;4;1;1;3;4;2;3;3;2;4;1;4;4;3;41
Cumilla;7;10701001;11400701001;Ashoktola-1;Ashoktola Khan Bari Masjeed Golir Boshoty;16;74;20;3;4;4;3;1;1;4;4;4;1;4;1;1;1;1;2;39
Cumilla;7;10701002;11400701002;Ashoktola-1;Ashoktola Feroj Khaner Barir Boshoty;7;30;30;3;4;4;3;1;1;4;4;4;4;4;1;1;1;1;2;42
Cumilla;7;10701003;11400701003;Ashoktola-1;Ashoktola Deloyur Khaner Barir Boshoty;8;24;16;3;3;4;3;1;1;4;1;4;4;4;1;1;1;1;2;38
Cumilla;7;10701004;11400701004;Ashoktola-1;Ashoktola Bisik Mor Boshoty;5;19;50;3;4;4;3;1;1;4;4;4;4;4;1;1;1;1;2;42
