City;Ward;Match ID;New ID;Mahalla Name;Settlement Name;Households;Population;Settlement Age;Condition of access roads;Availability of drains;Electricity coverage;Solid waste collection service;Access to piped water supply;Availability of hygienic toilet;Street lighting;Attendance of children at school;Households with employment;Household income;Social problems;Land tenure security;Housing condition;Risk of eviction;Land Ownership;Type of Occupancy;Total Score
Mymenshing;17;611705003;10901705003;BrammoPolli Purohit Para;Farkul Miyar Goli/Prohit para;12;55;100;4;1;4;1;1;1;1;3;3;2;3;4;1;4;4;4;41
Mymenshing;17;611706001;10901706001;Station Road;Railway Gard Colony;53;269;115;1;1;4;1;3;1;2;3;4;1;1;1;1;1;2;1;28
Mymenshing;17;611706002;10901706002;Station Road;Rail Coyater;130;598;115;1;1;4;1;3;1;3;3;4;3;2;1;1;1;2;1;32
Mymenshing;17;611706003;10901706003;Station Road;Suchona Center Point Goli;8;37;95;1;1;4;3;1;2;3;3;4;3;4;3;1;4;4;4;45
Mymenshing;4;610401001;10900401001;Tin Kona Pukur Par;Sahjahan Bare;170;1020;70;1;1;4;1;3;2;2;4;3;2;3;4;2;4;4;4;44
Mymenshing;4;610401004;10900401004;Tin Kona Pukur Par;Rohul Bare;35;170;30;1;1;4;1;1;2;2;4;3;2;4;4;1;4;4;4;42
Mymenshing;4;610401002;10900401002;Tin Kona Pukur Par;Pappu Driver;180;1150;80;2;1;4;1;3;2;3;4;3;2;3;4;2;4;4;4;46
Mymenshing;4;610401003;10900401003;Tin Kona Pukur Par;Sorifar Bare;140;820;50;2;1;4;1;3;2;3;4;3;2;3;4;2;4;4;4;46
Mymenshing;4;610401005;10900401005;Tin Kona Pukur Par;Khader Bare;60;350;20;1;1;4;1;3;2;1;4;3;2;2;4;1;4;4;4;41
Mymenshing;4;610401006;10900401006;Tin Kona Pukur Par;Tota And Kerani Bare;30;170;40;1;1;4;1;3;3;1;4;3;2;4;4;2;4;4;4;45
Mymenshing;4;610401007;10900401007;Tin Kona Pukur Par;Masuf Bare;12;75;50;1;1;4;1;3;3;3;4;3;2;4;4;2;4;4;4;47
Mymenshing;4;610402003;10900402003;Jamtola Doctor Bari;Amir Alir Bari;120;720;80;2;1;4;1;4;2;4;4;3;1;4;4;1;4;4;4;47
Mymenshing;4;610402001;10900402001;Jamtola Doctor Bari;Ranav Bare/Docor Bare;237;1240;100;2;1;4;1;2;2;4;4;3;2;4;4;1;4;4;4;46
Mymenshing;4;610402002;10900402002;Jamtola Doctor Bari;Bita Bare/ Saleha Mar Bare;26;150;100;4;4;4;1;3;3;3;4;3;2;2;4;2;4;4;4;51
Mymenshing;4;610402004;10900402004;Jamtola Doctor Bari;Barek Ustagar Bari;60;250;80;2;1;4;1;3;3;3;4;3;2;4;4;3;4;4;4;49
Mymenshing;4;610402005;10900402005;Jamtola Doctor Bari;prifor Bari;30;150;33;3;1;4;1;3;4;4;4;3;3;4;2;4;4;4;4;52
Mymenshing;4;610403009;10900403009;Provati Sena Lane;Lal Miyar Bosote;30;170;100;3;3;4;1;1;2;4;4;3;2;3;4;2;4;4;4;48
Mymenshing;4;610403008;10900403008;Provati Sena Lane;Pukur Par;75;375;100;1;1;4;1;1;2;1;2;2;1;3;4;1;4;4;4;36
Mymenshing;4;610403007;10900403007;Provati Sena Lane;Uttorer Bari;20;115;45;1;1;4;1;2;2;4;3;2;2;3;4;1;4;4;4;42
Mymenshing;4;610403006;10900403006;Provati Sena Lane;Samsu Miyar Bosote;20;120;60;3;1;4;1;1;2;4;4;3;2;3;4;1;4;4;4;45
Mymenshing;4;610403003;10900403003;Provati Sena Lane;Mohe Member Ar Bosote;50;230;70;2;1;4;1;2;2;3;3;3;2;3;4;2;4;4;4;44
Mymenshing;4;610403001;10900403001;Provati Sena Lane;Jamir Mar Potti;35;175;150;1;1;4;1;1;2;3;3;2;3;3;1;1;2;1;1;30
Mymenshing;4;610403002;10900403002;Provati Sena Lane;Sadec Miyar Bosote;10;45;80;3;1;4;1;2;3;4;4;4;3;4;4;3;4;4;4;52
Mymenshing;4;610403004;10900403004;Provati Sena Lane;Rofik Miyar Bosote;30;170;50;3;1;4;1;2;3;4;4;3;3;3;4;3;4;4;4;50
Mymenshing;4;610403005;10900403005;Provati Sena Lane;Chowdory Bari;25;130;75;1;1;4;1;2;1;4;3;2;1;4;4;1;4;1;3;37
Mymenshing;4;610404002;10900404002;Shanki Para Shes Morh;Monlar Bari;30;150;120;2;1;1;1;2;2;1;4;2;2;4;4;2;4;4;4;40
Mymenshing;4;610404001;10900404001;Shanki Para Shes Morh;Idres Miyar Bosote;50;350;100;4;3;4;1;2;2;4;3;2;2;1;4;2;4;4;4;46
Mymenshing;4;610404007;10900404007;Shanki Para Shes Morh;Morseder Bari;25;150;150;2;1;4;1;1;2;1;4;3;2;4;4;1;4;4;4;42
Mymenshing;4;610404004;10900404004;Shanki Para Shes Morh;Joinal Ar Bosote;70;400;15;2;1;4;1;1;1;1;3;2;2;3;4;1;4;1;3;34
Mymenshing;4;610404005;10900404005;Shanki Para Shes Morh;Shes Morh Poket Gate;20;110;50;1;1;4;1;1;2;3;3;3;2;3;4;2;4;4;4;42
Mymenshing;4;610404006;10900404006;Shanki Para Shes Morh;Shes Morh E.P.I Office;10;45;70;3;1;4;1;2;3;4;4;4;3;4;4;3;4;4;4;52
Mymenshing;4;610404008;10900404008;Shanki Para Shes Morh;Suru Miyar Bosote;70;400;100;1;1;4;1;1;2;1;3;1;1;3;4;1;4;4;4;36
Mymenshing;4;610404009;10900404009;Shanki Para Shes Morh;Check Post;8;35;70;3;3;4;1;2;3;4;4;3;3;4;4;3;4;4;4;53
Mymenshing;4;610404003;10900404003;Shanki Para Shes Morh;Cobutor Bari;100;600;50;1;1;4;1;1;1;4;3;1;1;3;3;1;4;1;3;33
Mymenshing;4;610405001;10900405001;Khondokar Bari;Suga Monsi Bari;60;302;50;2;1;4;1;1;3;4;4;3;2;3;4;3;4;4;4;47
Mymenshing;4;610405008;10900405008;Khondokar Bari;Ali Miyar Bari;24;120;70;2;3;4;2;3;4;4;4;3;2;3;4;3;4;4;4;53
Mymenshing;4;610405009;10900405009;Khondokar Bari;Dilep Bari;100;420;50;2;3;4;2;3;3;4;3;2;2;3;4;3;4;4;4;50
Mymenshing;4;610405006;10900405006;Khondokar Bari;Helal And Tota Ustakar Bari;140;610;80;2;1;4;2;3;3;4;4;2;1;3;4;3;4;4;4;48
Mymenshing;4;610405005;10900405005;Khondokar Bari;Occu Miyar Bari;70;360;80;2;3;4;2;2;3;4;4;3;2;3;4;3;4;4;4;51
Mymenshing;4;610405007;10900405007;Khondokar Bari;Sahjahan Bari;80;491;70;2;3;4;2;2;2;4;4;3;2;3;4;3;4;4;4;50
Mymenshing;4;610405004;10900405004;Khondokar Bari;Akbor Bari;120;620;50;3;3;4;2;3;3;4;4;3;3;3;4;3;4;4;4;54
Mymenshing;4;610405002;10900405002;Khondokar Bari;Kholil Miya;15;80;46;2;1;4;1;1;2;4;4;3;2;3;2;1;2;1;3;36
Mymenshing;4;610405003;10900405003;Khondokar Bari;Moti Bari;10;60;70;4;3;4;2;2;3;4;4;3;2;3;4;3;4;4;4;53
Mymenshing;4;610406006;10900406006;Lat Bari;Angur Miyar Bari;55;280;100;3;1;4;1;1;3;3;2;4;2;2;4;3;4;4;4;45
Mymenshing;4;610406005;10900406005;Lat Bari;Kamal Master Ar Bari;32;160;50;2;3;4;1;1;3;3;3;3;3;3;4;4;4;4;4;49
Mymenshing;4;610406002;10900406002;Lat Bari;Namapara;34;150;60;2;1;4;1;1;3;3;3;3;2;3;4;4;4;4;4;46
Mymenshing;4;610406001;10900406001;Lat Bari;Koborsthan;80;450;90;2;1;4;1;1;3;3;4;3;2;3;4;2;4;4;4;45
Mymenshing;4;610406004;10900406004;Lat Bari;Ajur Bari;28;150;100;2;1;4;1;1;3;3;3;2;2;3;4;4;4;4;4;45
Mymenshing;4;610406003;10900406003;Lat Bari;Dulur Dokan;65;320;120;3;1;4;1;1;3;3;2;2;2;3;4;4;4;4;4;45
Mymenshing;4;610407001;10900407001;GoalKandi (Khalifa Bari);Manob Bondon;100;420;70;3;1;4;1;1;2;4;3;3;2;3;4;2;4;4;4;45
Mymenshing;4;610407002;10900407002;GoalKandi (Khalifa Bari);Master Bari;50;210;80;2;1;4;1;1;2;3;3;3;2;3;4;2;4;4;4;43
Mymenshing;4;610407003;10900407003;GoalKandi (Khalifa Bari);C.N.V;6;24;50;2;1;4;1;1;1;1;2;2;1;3;1;1;1;2;1;25
Mymenshing;4;610407006;10900407006;GoalKandi (Khalifa Bari);Pathan Bari;30;150;80;4;3;4;1;3;3;3;4;4;3;3;4;3;4;4;4;54
Mymenshing;4;610407007;10900407007;GoalKandi (Khalifa Bari);E.P.I Office Ar Picha;8;35;40;2;1;4;1;1;2;2;4;3;2;3;4;3;4;4;4;44
Mymenshing;4;610407004;10900407004;GoalKandi (Khalifa Bari);Bocer Basha;15;60;50;1;1;4;1;1;1;1;3;3;2;2;4;1;4;4;4;37
Mymenshing;4;610407005;10900407005;GoalKandi (Khalifa Bari);Khan Bari;10;50;100;1;1;4;1;3;4;2;4;3;4;4;4;4;4;4;3;50
Mymenshing;4;610408001;10900408001;Mir Bari;Nama Para (Mir Bari);80;350;120;3;1;4;1;1;3;4;4;3;2;3;4;2;4;4;4;47
Mymenshing;4;610408002;10900408002;Mir Bari;Mir Bari Math Par;150;760;100;1;1;4;1;1;2;3;3;3;2;3;4;2;4;4;4;42
Mymenshing;4;610409004;10900409004;Indirar Par;Kholi Para;28;150;80;1;1;4;1;1;3;2;3;3;2;3;4;2;4;4;4;42
Mymenshing;4;610409003;10900409003;Indirar Par;Mola Bari;65;300;150;2;1;4;1;1;2;4;4;3;2;2;4;3;4;4;4;45
Mymenshing;4;610409002;10900409002;Indirar Par;Roshid Ar Bari;35;300;120;1;1;4;1;1;3;3;3;3;2;3;4;2;4;4;4;43
Mymenshing;4;610409001;10900409001;Indirar Par;Komisnar Ar Bari;15;80;125;3;4;4;4;1;3;3;4;3;3;3;4;4;4;4;4;55
