Poor Settlement Name;Poor Settlement-ID (DB);Poor Settlement Name (DB);Mahalla-ID (DB);Mahalla Name (DB);Ward-ID (DB);Ward Name (DB);Similarity (%);verify status;Coordinates
Raipweak Ar Purbo Pasher Para;16885;Raipweak Ar Purbo Pasher Para;14277;Banda Hati Titumir Road;8000;1;100;1;{'type': 'Polygon', 'coordinates': [[[89.12631479267652, 23.915008575458018], [89.12594057239755, 23.915141235019462], [89.12577456006579, 23.914776080275562], [89.12579657983521, 23.914748964180582], [89.1258371537907, 23.914746680005646], [89.12606207293844, 23.91470207660066], [89.12620565250671, 23.91469141810162], [89.12624674620311, 23.914766215448967], [89.12628129157397, 23.914886862866812], [89.12631479267652, 23.915008575458018]]]}
Habub Barei Thake Aloter Bari;16886;Habub Barei Thake Aloter Bari;14277;Banda Hati Titumir Road;8000;1;100;1;{'type': 'Polygon', 'coordinates': [[[89.12620565250671, 23.91469141810162], [89.12606207293844, 23.91470207660066], [89.1258371537907, 23.914746680005646], [89.12579657983521, 23.914748964180582], [89.12573204257781, 23.914603766917686], [89.12593543445914, 23.9145131566084], [89.12619586532068, 23.914445808201524], [89.12623752890308, 23.914436486479723], [89.12624643869734, 23.91450237301794], [89.12620565250671, 23.91469141810162]]]}
Sohid Titumir Sarak;16887;Sohid Titumir Sarak;14277;Banda Hati Titumir Road;8000;1;100;1;{'type': 'Polygon', 'coordinates': [[[89.12657697760129, 23.9149890375865], [89.12648527730171, 23.91501719510493], [89.126540421707, 23.915168543577654], [89.12654426985834, 23.915214450692048], [89.12653568992846, 23.9152526402077], [89.12640043130156, 23.915263341041552], [89.12637990200061, 23.915223075016513], [89.12635773509194, 23.915117797313993], [89.12631479267652, 23.915008575458018], [89.12628129157397, 23.914886862866812], [89.12624674620311, 23.914766215448967], [89.12620565250671, 23.91469141810162], [89.12624643869734, 23.91450237301794], [89.12623752890308, 23.914436486479723], [89.12631035900026, 23.914431163584084], [89.12637672439841, 23.914458302791935], [89.1263972000929, 23.91450621695105], [89.12639974998552, 23.91459119197378], [89.12653691963814, 23.914915078339277], [89.12657697760129, 23.9149890375865]]]}
Momenar Ma O Mumar Goli;16888;Momenar Ma O Mumar Goli;14277;Banda Hati Titumir Road;8000;1;100;1;{'type': 'Polygon', 'coordinates': [[[89.1263972000929, 23.91450621695105], [89.12647839962871, 23.91449329714331], [89.1265325490775, 23.914482134862055], [89.12654711276305, 23.914482215559485], [89.12661145247479, 23.914501699198116], [89.1266735674361, 23.91454411810736], [89.12670809514832, 23.914666673403804], [89.12677619975379, 23.91474544931394], [89.12684245596917, 23.9147897924229], [89.1268877530486, 23.91485888577225], [89.12690376942852, 23.914950740942967], [89.12695314377817, 23.915031319754107], [89.12692374557571, 23.915073217507665], [89.12680704673579, 23.915106972750674], [89.1267881752567, 23.915129801782086], [89.12670301080747, 23.915114026189972], [89.12662640344313, 23.91506196883553], [89.12657697760129, 23.9149890375865], [89.12653691963814, 23.914915078339277], [89.12639974998552, 23.91459119197378], [89.1263972000929, 23.91450621695105]]]}
Shopon Miya (Nepal) ar goli;16889;Shopon Miya (Nepal) ar goli;14277;Banda Hati Titumir Road;8000;1;100;1;{'type': 'Polygon', 'coordinates': [[[89.12708642937073, 23.91462611429902], [89.12695086137752, 23.91468269938458], [89.1268179848501, 23.91472496037605], [89.12673078734274, 23.914547616651348], [89.12662510222677, 23.91441318513942], [89.12661280653136, 23.914307961122645], [89.1266235750359, 23.914253058135056], [89.12668620718688, 23.914217563390032], [89.12678000468044, 23.914187027295466], [89.12686810712945, 23.914230545453833], [89.12687295234501, 23.91428315184383], [89.12698125329102, 23.914415208534756], [89.12708642937073, 23.91462611429902]]]}
Askar Ali Mondol Para;16890;Askar Ali Mondol Para;14277;Banda Hati Titumir Road;8000;1;100;1;{'type': 'Polygon', 'coordinates': [[[89.12686810712945, 23.914230545453833], [89.12681969090951, 23.914084489263747], [89.12676883790145, 23.913914523665472], [89.12675372466708, 23.913842741151655], [89.12675903246324, 23.913826041437936], [89.12683964062141, 23.913824110915844], [89.12691204495442, 23.91388187693561], [89.12699709217372, 23.913992293023977], [89.1270643309068, 23.91404525375479], [89.12716804720759, 23.91408646738738], [89.12728759869705, 23.914091927358637], [89.12746198638361, 23.914061847400966], [89.1275907019087, 23.914251379612146], [89.12768424303984, 23.914259077944376], [89.12773884941025, 23.914256995837086], [89.12773580294031, 23.914323897434684], [89.1275895473025, 23.91442344038567], [89.12757614486422, 23.914483109376373], [89.127593847067, 23.914557298202052], [89.12772836915383, 23.914656045322793], [89.12754265640011, 23.914824670302707], [89.12744335221295, 23.914900582379165], [89.12735222107567, 23.914921574277773], [89.12719898321679, 23.914899195352508], [89.1271502136288, 23.914805715180243], [89.12708642937073, 23.91462611429902], [89.12698125329102, 23.914415208534756], [89.12687295234501, 23.91428315184383], [89.12686810712945, 23.914230545453833]]]}
Kuti Monir Goli;16891;Kuti Monir Goli;14277;Banda Hati Titumir Road;8000;1;100;1;{'type': 'Polygon', 'coordinates': [[[89.12573671729385, 23.91425183924322], [89.12562542834642, 23.91417712135298], [89.12568320253902, 23.914091414214802], [89.12568607327937, 23.91405080294611], [89.1256032563813, 23.913995365078666], [89.12552823285478, 23.913939972496248], [89.1255442168768, 23.913882706106694], [89.12563013651933, 23.913864076665845], [89.1257237880317, 23.913855047708893], [89.12579667466692, 23.913841123043923], [89.12588690742314, 23.91395396090696], [89.12596269968542, 23.913894645725282], [89.12600721447423, 23.913847101740533], [89.12608008482792, 23.9138355665457], [89.12609261883144, 23.913904942419784], [89.12609197750987, 23.914000534192652], [89.1261277606408, 23.914091551722052], [89.12612729418741, 23.914160853835536], [89.12590075357282, 23.914214534040752], [89.12573671729385, 23.91425183924322]]]}
Banda Haji Goli;16892;Banda Haji Goli;14277;Banda Hati Titumir Road;8000;1;100;1;{'type': 'Polygon', 'coordinates': [[[89.12629690204311, 23.91368145794182], [89.12605028763069, 23.91362748065351], [89.12595697507307, 23.913586323013874], [89.1259625909999, 23.913524215781933], [89.12602554696585, 23.913440931812914], [89.1261423856979, 23.913463103839966], [89.12621215939977, 23.91352563443952], [89.12627944457122, 23.91357142546941], [89.1263442895357, 23.913593302583386], [89.12635483398137, 23.91357185425219], [89.1263555895151, 23.91345953409185], [89.12635599011351, 23.913399791483023], [89.12634867343907, 23.91332805266189], [89.12636727438847, 23.913268412059757], [89.12646914214841, 23.913197294695774], [89.12654205909422, 23.91317859035035], [89.12660963394482, 23.913181364855145], [89.12672111429987, 23.913227404924832], [89.12673634189929, 23.91328245907076], [89.1267321226067, 23.913523810824717], [89.12673128733192, 23.913648078564208], [89.12671018161845, 23.913693367087458], [89.12659311852957, 23.913704649547075], [89.1264372196846, 23.91369181470082], [89.12629690204311, 23.91368145794182]]]}
Horijon Colony;16893;Horijon Colony;14277;Banda Hati Titumir Road;8000;1;100;1;{'type': 'Polygon', 'coordinates': [[[89.12468308575761, 23.910548735307117], [89.1245859628319, 23.910494412879213], [89.12457651583613, 23.910449547909455], [89.12456751318138, 23.91033896536594], [89.1245613143624, 23.91029412073768], [89.12450324881168, 23.910231057309296], [89.12444501804318, 23.91019189041942], [89.12443236423879, 23.910141031654696], [89.12445547126426, 23.91008739258545], [89.1244912339967, 23.910084608467525], [89.12455273567431, 23.91012080790354], [89.12461742158965, 23.910165985583532], [89.1247049761743, 23.91019337113047], [89.12481206870318, 23.91021489052335], [89.12487380884102, 23.91021524228658], [89.12494870891999, 23.91019176893446], [89.12501727051811, 23.910144361981484], [89.12511202724447, 23.910067232272226], [89.12517069984943, 23.910040680150225], [89.12519637265105, 23.910088622598636], [89.12519199761229, 23.910255887267514], [89.12517526695156, 23.91032748814514], [89.12524972482424, 23.910369733963186], [89.12528831521679, 23.910429699306306], [89.12527814262832, 23.91049237680877], [89.1252062955695, 23.910545739848573], [89.12496899934, 23.910556339434233], [89.12468308575761, 23.910548735307117]]]}
Motin Ar Bari Thake Rubin Ar Bari;16894;Motin Ar Bari Thake Rubin Ar Bari;14277;Banda Hati Titumir Road;8000;1;100;1;{'type': 'Polygon', 'coordinates': [[[89.12564850571376, 23.914427747010283], [89.12558443005248, 23.914291162020778], [89.12595138421018, 23.914233502429045], [89.12607896106402, 23.914205548729665], [89.1261071087544, 23.914272625856892], [89.12608868411401, 23.914305977873333], [89.1260495294797, 23.914329653451954], [89.12594263658505, 23.91437445466355], [89.12581506140761, 23.914402406068923], [89.12564850571376, 23.914427747010283]]]}
