Poor Settlement Name;Poor Settlement-ID (DB);Poor Settlement Name (DB);Mahalla-ID (DB);Mahalla Name (DB);Ward-ID (DB);Ward Name (DB);Similarity (%);verify status;Coordinates
Dhopa Bari;17768;Dhopa Bari;14371;Old Jail Road;8352;2;100;1;{'type': 'Polygon', 'coordinates': [[[91.0997516243317, 22.874158297908007], [91.09985681202843, 22.874151834068005], [91.10013773770211, 22.874078074414538], [91.10039579411738, 22.87397429156738], [91.10054021652041, 22.873936132044136], [91.10065157738732, 22.873908535174028], [91.10078486079509, 22.87396007037172], [91.10085206130954, 22.874104919729024], [91.10089366351896, 22.8742580727024], [91.1008984643835, 22.874354951904067], [91.10099393602718, 22.874423123495497], [91.10097413385441, 22.874526511047076], [91.10098702322406, 22.87458951868332], [91.10102478098739, 22.874665738403277], [91.10102790804252, 22.87479764696032], [91.10089115781358, 22.874856432660454], [91.10070089946204, 22.874869221547034], [91.10065945081413, 22.874911095451363], [91.0997516243317, 22.874158297908007]]]}
Vhuluya Cholony;17772;Vhuluya Cholony;14369;Anantapur Chandrapur;8352;2;100;1;{'type': 'Polygon', 'coordinates': [[[91.09911805087013, 22.884558031775633], [91.09908970268508, 22.88448526302007], [91.09910111675316, 22.88426888586582], [91.09906349405726, 22.88392139537443], [91.0990622529259, 22.883767245971], [91.09906970203636, 22.883731343932922], [91.09939482708019, 22.88374343696535], [91.09966959516075, 22.88374870678564], [91.09975942358726, 22.88385205214971], [91.0997651697944, 22.884085041366887], [91.099756162545, 22.88440775851952], [91.09978562344392, 22.88455446507822], [91.09911805087013, 22.884558031775633]]]}
Jura Bari;17770;Jura Bari;14389;Fatehpur Station Road;8352;2;100;1;{'type': 'Polygon', 'coordinates': [[[91.10746511778693, 22.886619592691538], [91.10742493016419, 22.887431329966674], [91.10720791039505, 22.887447868731318], [91.10719286214062, 22.887476292788516], [91.10719050211658, 22.887550927610608], [91.10713388296286, 22.88756417772018], [91.10685937657401, 22.887584767237886], [91.10650336445264, 22.88761146948002], [91.10646367360404, 22.887642045789207], [91.10636229703344, 22.8877231387095], [91.1062852575752, 22.88770645727895], [91.10598236548716, 22.887735054937398], [91.10589226592893, 22.887701167138314], [91.1058527599337, 22.887601060443206], [91.10593567641769, 22.887328019701453], [91.10585747797782, 22.88722818305993], [91.10579097463032, 22.88713901899882], [91.1058401702775, 22.887002444824784], [91.10581567758226, 22.88684487255142], [91.10582854030102, 22.886522128789796], [91.10595622414802, 22.886521240623498], [91.10614165742653, 22.88648410009551], [91.10671889905773, 22.886569709493223], [91.10707128984254, 22.886603106509906], [91.10746511778693, 22.886619592691538]]]}
Jura Bari Mohammad Bari;17771;Jura Bari Mohammad Bari;14389;Fatehpur Station Road;8352;2;100;1;{'type': 'Polygon', 'coordinates': [[[91.10222787206087, 22.888427387261068], [91.10216955438011, 22.887495412971145], [91.10252193887388, 22.887449988895334], [91.10270824300594, 22.887407047467004], [91.10308219933083, 22.887395490357974], [91.10318571773003, 22.887436598392988], [91.10321558262638, 22.887540954722148], [91.10311930924837, 22.88759838598076], [91.10290647583783, 22.887596875629278], [91.10288799905886, 22.887704555303173], [91.10299144520478, 22.887736700205647], [91.10308824896154, 22.887744991400034], [91.10309248772019, 22.88787043917418], [91.1030707139809, 22.887969178889318], [91.10298055152515, 22.887984742243844], [91.10296804021569, 22.8880326294065], [91.10296231522457, 22.888122295815872], [91.10301123731189, 22.888190669462222], [91.10298977637308, 22.88832824540727], [91.10280610656712, 22.888344457410284], [91.10222787206087, 22.888427387261068]]]}
Vhuluya Cholony;17772;Vhuluya Cholony;14369;Anantapur Chandrapur;8352;2;100;1;{'type': 'Polygon', 'coordinates': [[[91.09979673885478, 22.884680716170227], [91.09980802298911, 22.8847369091232], [91.09980706933995, 22.884820479055673], [91.09966496155394, 22.884822250523086], [91.09944946463027, 22.8848402764736], [91.09938734474184, 22.884827504252787], [91.09932934907609, 22.88480113681085], [91.09924466606947, 22.884792162407408], [91.09917164873376, 22.884793334709446], [91.09912916566597, 22.884684282938338], [91.09979673885478, 22.884680716170227]]]}
Ahmed Shikdar Bari;17773;Ahmed Shikdar Bari;14389;Fatehpur Station Road;8352;2;100;1;{'type': 'Polygon', 'coordinates': [[[91.1102798618015, 22.884022724259165], [91.11003982968938, 22.884015675460045], [91.1100416518193, 22.88365063152473], [91.1100427785548, 22.88342490581623], [91.1101211785662, 22.883364343895305], [91.11033638077826, 22.883304129828122], [91.11045194332996, 22.88324238227533], [91.11046170759685, 22.883049901258808], [91.11048417892543, 22.882918285261603], [91.11091365387325, 22.88270234667786], [91.11104074113338, 22.883505111754186], [91.11120242940359, 22.8840514609699], [91.11127280393707, 22.884289254291467], [91.11101623431884, 22.884319483186562], [91.11099292610827, 22.8842570349327], [91.1109960395112, 22.884020053813085], [91.11088149887405, 22.884018972233452], [91.11061646349638, 22.88401412513777], [91.11053055902275, 22.884012553980057], [91.11053572138412, 22.884124359170055], [91.1105067503853, 22.884122742449332], [91.11044437501957, 22.884119261586548], [91.11044358186591, 22.88402176230805], [91.1103615816027, 22.884025123965337], [91.1102798618015, 22.884022724259165]]]}
Chuyar Bari;17774;Chuyar Bari;14389;Fatehpur Station Road;8352;2;100;1;{'type': 'Polygon', 'coordinates': [[[91.10839831174287, 22.88794851990884], [91.10841964446698, 22.887780113146494], [91.10842310406277, 22.887697871715527], [91.10861730035592, 22.887723286008768], [91.10862841066087, 22.88782072218532], [91.10859800047633, 22.887887855205417], [91.10845187250617, 22.887936674434325], [91.10839831174287, 22.88794851990884]]]}
West Master Para;17775;West Master Para;14370;East Maijdi;8352;2;100;1;{'type': 'Polygon', 'coordinates': [[[91.10310745036904, 22.882672375236005], [91.10263469736663, 22.88268921874976], [91.10256086221754, 22.882488985124667], [91.10252182176353, 22.8821260018272], [91.1025945227317, 22.881547159089422], [91.10242624701417, 22.88051113988208], [91.10267860559274, 22.880461593552354], [91.10320700716741, 22.880388302288363], [91.10385031011566, 22.880236786433652], [91.10443763072169, 22.88014667454736], [91.10449481375743, 22.880201243436915], [91.1045924802098, 22.880477785135053], [91.1046796956118, 22.880737670557473], [91.10469887032494, 22.880876147383415], [91.10476694294961, 22.881320182474738], [91.1048581240145, 22.882069954887413], [91.104639136461, 22.882100154289034], [91.10436594996867, 22.882125950175425], [91.10411857324056, 22.882153956208047], [91.10410941666068, 22.88229740947445], [91.10413527613638, 22.882624636346925], [91.10390839570135, 22.882635770956938], [91.10360656775201, 22.88262830682311], [91.10310745036904, 22.882672375236005]]]}
East Master Para;17776;East Master Para;14370;East Maijdi;8352;2;100;1;{'type': 'Polygon', 'coordinates': [[[91.10376176811468, 22.88427860065024], [91.10346936177024, 22.88440012167202], [91.10333126637396, 22.88446680029369], [91.10315763576378, 22.88452476350251], [91.10289010221165, 22.884532594077047], [91.10284075454481, 22.884410457682637], [91.10278340250414, 22.8842642062855], [91.1025161200573, 22.884282455495903], [91.10226073147611, 22.88427705672376], [91.10228151190523, 22.883975794260124], [91.10227215369508, 22.8837751135308], [91.10215609471535, 22.883775918074047], [91.10197819547764, 22.88378432062796], [91.10198367563062, 22.883504672667886], [91.10199741389029, 22.883289492847165], [91.1019958512909, 22.883095927527997], [91.10244449464486, 22.883078478527775], [91.10272332429703, 22.883112392453228], [91.10284706199809, 22.88310436476873], [91.10287143207309, 22.883247585446338], [91.10301058642071, 22.883232281211995], [91.10298563694805, 22.883017369724826], [91.10296103511108, 22.8828454727283], [91.10298337787157, 22.882737775457088], [91.10354819373781, 22.882733856445856], [91.10385756589024, 22.882717370028328], [91.10410509832865, 22.882708481911646], [91.1041592587274, 22.8827081058214], [91.1041832821533, 22.88280831176811], [91.10420834942946, 22.88303756116186], [91.1042181163176, 22.883288425249148], [91.10421084301039, 22.88334583162498], [91.10409963024638, 22.883429677574064], [91.10400263339587, 22.883433311233404], [91.10405027448068, 22.883583539585153], [91.1041211854384, 22.883740775811013], [91.10428360986326, 22.883732478340622], [91.10447966871665, 22.883737091120064], [91.10468433858588, 22.883690262542768], [91.10490867058596, 22.88368272922218], [91.10499397381056, 22.88370603468841], [91.10503313093993, 22.883923236821413], [91.1050364258041, 22.88401163752344], [91.10495937064819, 22.884035473852467], [91.10473971911989, 22.88404775439682], [91.10456725331558, 22.88405827294728], [91.1044431690737, 22.884061811526553], [91.1041916816586, 22.8840922361605], [91.10405592305096, 22.884144799182], [91.1040017274987, 22.884165823961883], [91.10376176811468, 22.88427860065024]]]}
Patoyari Bari;17777;Patoyari Bari;14371;Old Jail Road;8352;2;100;1;{'type': 'Polygon', 'coordinates': [[[91.10190915231328, 22.877749467276136], [91.10197097960501, 22.87773650820568], [91.10201442047823, 22.87773525878401], [91.10204510609111, 22.87774654259902], [91.1020620223224, 22.877784567444134], [91.10210153044444, 22.87793893035649], [91.10213309575565, 22.87806825084049], [91.10213420901155, 22.87820146126275], [91.10191766808335, 22.878278775377154], [91.10176929591844, 22.87849141112515], [91.10151754810671, 22.878500849785652], [91.10092949545968, 22.87852289729431], [91.10038698164362, 22.878543235640137], [91.10038157035834, 22.87844837762725], [91.10037751126971, 22.878280843572337], [91.10021191780608, 22.87810887671439], [91.10190915231328, 22.877749467276136]]]}
