Ward;Mahalla Name;Settlement Name;Match ID
4;Jalchattra;Gusso Gram;10401005
4;Jalchattra;Chowdhuri Para;10401006
4;Jalchattra;Shorker Par;10401007
4;Jalchattra;Burirthan;10401008
4;Jalchattra;Goutomer Khamar;10401009
4;Amasu Colony;Purbo Colony;10402001
4;Amasu Colony;Kukrul Purbo Para;10402002
4;Amasu Colony;Dokkir Para Bottola;10402003
4;Amasu Kukrul;Kaimaguli Kukrul, Variya Para;10403001
4;Amasu Kukrul;Santo Para Aziz Road;10403002
4;Amasu Kukrul;Moddho Para, Zoddar Road;10403003
4;Amasu Kukrul;Moddho Kukrul Hyder Mistry Goli;10403004
4;Kaiyaguli Kukrul;Uttar Para;10404001
4;Kaiyaguli Kukrul;Goutom Er Khamar;10404002
4;Kaiyaguli Kukrul;Buriyal Ar Mor;10404003
4;Sardarpara And Hazipara;Vata Bari, Sardarpara;10405001
4;Sardarpara And Hazipara;Vatiya Tary;10405002
4;Sardarpara And Hazipara;Safi Member, Jamal Hossain;10405003
4;Sardarpara And Hazipara;Akter Mor, Paglir Mazar;10405004
4;Sardarpara And Hazipara;Anowarul Neta, Mofijul Islam;10405005
4;Khatkhatia Taltola;Khatkhatia;10406001
4;Khatkhatia Taltola;Adorsho Purbo Para;10406002
4;Khatkhatia Taltola;Monir Khalifa (Master Para);10406003
4;Khatkhatia Taltola;Mashankura;10406004
4;Khatkhtia Atiatari;Nilkontho;10407001
4;Khatkhtia Atiatari;Athera Tary Kali Mandir;10407002
4;Khatkhtia Atiatari;Dhap Para;10407003
4;Pakar Matha Master Para;Atiya Tary, Muhammadpur, Nur Muhammad;10408001
4;Pakar Matha Master Para;Muhammadpur, Seven Ar Basha;10408002
4;Pakar Matha Master Para;Paka Matha, Manu Begum, Chadni;10408003
5;Taltala;Moubon Vatar Para Bosti;10501001
5;Khatkhotia Purbopara;Burail Para/ Master Para;10502001
5;Khatkhotia Purbopara;Obgojir Bazar Bosti;10502002
5;Khatkhotia Purbopara;Khatkhotia Purbp Para/ Ahle Hadis Jame Masjeed Bosty;10502003
5;Sheikhpara;Teli Tary;10503001
5;Sheikhpara;Kasia Tary;10503002
5;Sheikhpara;Master More;10503003
5;Sheikhpara;Araji Bala Kumar;10503004
5;Togdar Para;Poydor Sheikhpara;10504001
5;Togdar Para;Digir Par;10504002
5;Togdar Para;Togdar Para Area;10504003
5;Harati (South);Harati Modho Para;10505001
5;Harati (South);Harati Dpkhin Para;10505002
5;Harati (South);Dhorir More (Hindu Para);10505003
5;Harati (North);Kosu Tari Dhokhin Para;10506001
5;Harati (North);Kosu Tari;10506002
5;Harati (North);Kosu Tari Uttar Para;10506003
5;Harati (North);Kosu Tari Chirman Home;10506004
5;Harati (North);Harati Poschim Hindu Para;10506005
5;Chowmuhuni (Kholeya Para);Kholeya Uttor Para Masjeed Bosti;10507001
5;Chowmuhuni (Kholeya Para);Poshuram Khaleya;10507002
5;Chowmuhuni (Kholeya Para);Poshuram Khaleya Poschim Para Bosti;10507003
5;Chiler Jhar;Hindu Para Bosti;10508001
5;Chiler Jhar;Kali Mondir Bosty;10508002
5;Chiler Jhar;Boro Mosjeed Bosty;10508003
5;Chiler Jhar;Fakirgonj Bosty;10508004
5;Chiler Jhar;Shamlar Bazar Guchogram;10508005
5;Chiler Jhar;Kholeya Dokhin Para Bosty;10508006
6;Sabek Councilor Para;Robindro Barir Pashe;10601001
6;Sabek Councilor Para;Kuchlarpar-1;10601002
6;Sabek Councilor Para;Kuchlarpar-2;10601003
6;Sabek Councilor Para;Dokkhin Chobbish Hazari (Vejaler Dokaner Alaka);10601004
6;Fokirapara & Feluyapara;Kaji Bari Ar Pashe;10602001
6;Fokirapara & Feluyapara;Rakhar Bari Ar Pashe;10602002
6;Fokirapara & Feluyapara;Chowdhury Barir Pashe;10602003
6;Fokirapara & Feluyapara;Akash Buri;10602004
6;Fokirapara & Feluyapara;Dokhin Fokir Para Masjeed Ar Pashe;10602005
6;Fokirapara & Feluyapara;Councilor Ar Bashar Uttor Pashe;10602006
6;Fokirapara & Feluyapara;Councilor Ar Barir Dokhin Pashe;10602007
6;Poschim Kobaru (Pathan Para);Motin Bari;10603001
6;Poschim Kobaru (Pathan Para);Mojibor Bari;10603002
6;Poschim Kobaru (Pathan Para);Luco Bari;10603003
6;Poschim Kobaru (Pathan Para);Afchar Bari;10603004
6;Poschim Kobaru (Pathan Para);Fozol Mistry Bari;10603006
6;Poschim Kobaru (Pathan Para);Soruj Mocer Bari;10603007
6;Poschim Kobaru (Pathan Para);Mijan Ar Boshoty;10603008
6;Chabbis Hazari Adorshopara/ Dolapara;Shiv Mandir Hindu Para;10604001
6;Chabbis Hazari Adorshopara/ Dolapara;Dola Para Purbo Chobbish Hajari;10604002
6;Chabbis Hazari Adorshopara/ Dolapara;Loknath Polli;10604003
6;Chabbis Hazari Adorshopara/ Dolapara;Loknath Polli;10604004
