City;Ward;Match ID;New ID;Mahalla Name;Settlement Name;Households;Population;Settlement Age;Condition of access roads;Availability of drains;Electricity coverage;Solid waste collection service;Access to piped water supply;Availability of hygienic toilet;Street lighting;Attendance of children at school;Households with employment;Household income;Social problems;Land tenure security;Housing condition;Risk of eviction;Land Ownership;Type of Occupancy;Total Score
Dhaka South City Corporation;50;1235004003;;Sheikhpara;Sheikhpara Dokkhin Jatrabari Bosoty;30;160;5;4;1;4;3;3;3;4;1;2;2;3;4;4;4;4;4;50
Dhaka South City Corporation;51;1235101001;;East Dholaipar & Shantinibash;Rojob Miyar Bari;22;88;30;3;4;4;4;1;4;4;1;3;2;4;4;1;4;4;3;50
Dhaka South City Corporation;51;1235101002;;East Dholaipar & Shantinibash;Nasrin er Bosti;10;40;40;4;4;4;4;2;4;4;1;3;3;4;4;3;2;4;4;54
Dhaka South City Corporation;51;1235101003;;East Dholaipar & Shantinibash;Soap Factorir Golir Bosti;13;52;25;4;4;4;4;2;4;4;4;4;4;4;4;2;4;4;4;60
Dhaka South City Corporation;51;1235101004;;East Dholaipar & Shantinibash;Ali Hossain er Bosti;10;40;25;4;4;4;4;4;4;4;4;4;4;2;4;3;4;4;4;61
Dhaka South City Corporation;51;1235101005;;East Dholaipar & Shantinibash;Habibur Rahman er Bosti;7;28;25;4;4;4;4;4;4;4;3;4;4;2;4;2;4;4;4;59
Dhaka South City Corporation;51;1235101006;;East Dholaipar & Shantinibash;Nannu Miyar Bosti;8;32;30;4;4;4;4;4;4;4;2;3;3;4;4;2;4;4;4;58
Dhaka South City Corporation;51;1235101007;;East Dholaipar & Shantinibash;Rokon Hazir Bari;13;52;9;4;4;4;4;2;4;4;2;4;2;4;4;2;4;4;4;56
Dhaka South City Corporation;51;1235102001;;West Dholaipar & Nurani Mosque Area;West Dolaipar;9;35;30;4;4;3;4;1;1;4;4;2;1;1;3;4;1;4;1;42
Dhaka South City Corporation;51;1235102002;;West Dholaipar & Nurani Mosque Area;Juktibadi Golir Bosti;8;40;20;4;3;4;4;2;4;1;1;1;1;4;1;4;4;1;3;42
