Poor Settlement Name;Poor Settlement-ID (DB);Poor Settlement Name (DB);Mahalla-ID (DB);Mahalla Name (DB);Ward-ID (DB);Ward Name (DB);Similarity (%);verify status;Coordinates
Shuban Miar Bari;15224;Shuban Miar Bari;13695;Kolwala Para;7834;12;100;1;{'type': 'Polygon', 'coordinates': [[[90.35477802561238, 23.796501094168462], [90.3547601834692, 23.7964850264488], [90.35475030233924, 23.79643470618429], [90.35476916704837, 23.796349057021157], [90.35479162808593, 23.7963164860724], [90.35481045340623, 23.7963096445835], [90.35484302772949, 23.796315934836628], [90.3549534943811, 23.796320695340487], [90.35500354046107, 23.796310090679196], [90.35502879562848, 23.79629332928817], [90.35506151504242, 23.796292457586773], [90.35507955692515, 23.796324290372315], [90.3550817417945, 23.796370179987743], [90.35505348930792, 23.796381158461383], [90.3550323818915, 23.7964237828244], [90.35503802831384, 23.796452537256453], [90.35506417282515, 23.796468747341823], [90.35510470473822, 23.796466576748387], [90.35513649908698, 23.796485749481107], [90.35512760338861, 23.796540523959454], [90.35508051584954, 23.796558821421197], [90.3550128658907, 23.796567213661653], [90.35484994558136, 23.7965381497814], [90.35477802561238, 23.796501094168462]]]}
Mojom Baparir Bari;15225;Mojom Baparir Bari;13695;Kolwala Para;7834;12;100;1;{'type': 'Polygon', 'coordinates': [[[90.35502600297147, 23.79604682612654], [90.35501361772383, 23.79596637245452], [90.35501697338835, 23.795877591481158], [90.35502545316757, 23.795843347811488], [90.35505555236776, 23.79581807221189], [90.3551336184845, 23.7958079480595], [90.35517882023181, 23.795805857521035], [90.35518913671547, 23.795834692041744], [90.35520247952334, 23.795867877102225], [90.35524116443624, 23.79588000357971], [90.3552999411487, 23.79589963900913], [90.35529610246688, 23.795935395170382], [90.35527514027908, 23.79597085767175], [90.35525406202574, 23.79601204969735], [90.35525428409177, 23.796077965969083], [90.35521948579618, 23.7961045938956], [90.35509685598204, 23.796085296192736], [90.35502600297147, 23.79604682612654]]]}
Md. Anwar Hossain R Bari;15226;Md. Anwar Hossain R Bari;13695;Kolwala Para;7834;12;100;1;{'type': 'Polygon', 'coordinates': [[[90.35483700959027, 23.798473717704237], [90.3548505080419, 23.79842236560994], [90.3548596230864, 23.79838240135438], [90.35483783609725, 23.79833044398518], [90.35481839560052, 23.798265153327975], [90.35483858519689, 23.798190989946736], [90.35487241407185, 23.79816100214411], [90.35490769944592, 23.79816160740296], [90.35493625498013, 23.79818693378793], [90.35499437208205, 23.79818793065756], [90.35503138485218, 23.798205760067706], [90.35507835008859, 23.798244775736556], [90.35511916589685, 23.798279864907897], [90.35507849114009, 23.79834030343405], [90.35497776449702, 23.7984952371708], [90.35492909668572, 23.798540254499535], [90.35485291800353, 23.79850837968775], [90.35483700959027, 23.798473717704237]]]}
Alhaj Forid Ahmed r Bari;15227;Alhaj Forid Ahmed r Bari;13695;Kolwala Para;7834;12;100;1;{'type': 'Polygon', 'coordinates': [[[90.35451070200969, 23.79828471147981], [90.35450401077954, 23.79830752274594], [90.35448893969782, 23.79833401125736], [90.35449446993726, 23.798368495222714], [90.35451691468319, 23.798387985331196], [90.35457233706033, 23.79841950421651], [90.35458244423839, 23.798433051144535], [90.35459616086702, 23.798473407063735], [90.35459327258012, 23.798513478119506], [90.35456774601055, 23.798543608279395], [90.3545197746497, 23.79855424832635], [90.35448057015167, 23.798542112704773], [90.35445643677956, 23.798503488570564], [90.35445721079277, 23.798465291752194], [90.35440974257308, 23.798451103835514], [90.35436153902718, 23.7984732028799], [90.35433966051487, 23.798528232149682], [90.35429622741007, 23.798519844941897], [90.35427612921768, 23.7984870215302], [90.35428233171278, 23.7983858711996], [90.35429998158904, 23.798334590395296], [90.35429225968261, 23.798305800337946], [90.3543303947339, 23.798268244528725], [90.35435976290167, 23.79825346435534], [90.35441169187418, 23.7982524447739], [90.35451070200969, 23.79828471147981]]]}
Nasir Ahmedr Bari;15228;Nasir Ahmedr Bari;13695;Kolwala Para;7834;12;100;1;{'type': 'Polygon', 'coordinates': [[[90.35439128809365, 23.797927308886656], [90.35440024842396, 23.79789498402928], [90.35443176950159, 23.79787641976105], [90.35445252555121, 23.797876775851922], [90.35449368936048, 23.79789467659538], [90.35452067223024, 23.797895139502476], [90.35454412306234, 23.797864973730174], [90.35454889344278, 23.797834487486032], [90.35450792313594, 23.797807037552356], [90.35447376014383, 23.79775104681816], [90.35450374735296, 23.79770570914598], [90.35456432679945, 23.797687643354003], [90.3545847345452, 23.797705187996204], [90.35459387424471, 23.79776648095258], [90.35467642003874, 23.797893990345536], [90.35472192858083, 23.797902413035825], [90.35479083530639, 23.797985746789422], [90.35467396814475, 23.798117477392456], [90.35457004699467, 23.798020169374816], [90.35453879678737, 23.798025364781616], [90.35449678154806, 23.79804948055033], [90.35446353312396, 23.798050820650268], [90.35439128809365, 23.797927308886656]]]}
Shamshul Haque Mukul R bari;15229;Shamshul Haque Mukul R bari;13695;Kolwala Para;7834;12;100;1;{'type': 'Polygon', 'coordinates': [[[90.35419245010284, 23.797390866593734], [90.35418691995883, 23.79735638262439], [90.35418777141382, 23.797314366127125], [90.35420668398746, 23.79730322758655], [90.3542378179198, 23.797303761755142], [90.35431019286088, 23.79731837701103], [90.35439271360576, 23.79734462932616], [90.35446147917966, 23.797332435519703], [90.35451360127607, 23.797321866664824], [90.35453397026474, 23.797341321150096], [90.3545357609101, 23.79745789268415], [90.35449778096695, 23.797487809209038], [90.35435444855278, 23.797491081728044], [90.35431762958898, 23.797463702975154], [90.35427669814695, 23.797434343152492], [90.35419245010284, 23.797390866593734]]]}
Md.Rukunujaman r Bari;15230;Md.Rukunujaman r Bari;13695;Kolwala Para;7834;12;100;1;{'type': 'Polygon', 'coordinates': [[[90.35395295061329, 23.796959102713636], [90.35404015620958, 23.796946270236404], [90.35414388731206, 23.79695043816195], [90.3541668506759, 23.796969937201354], [90.35417018606461, 23.79699745793505], [90.35417246609813, 23.797013019906267], [90.35419050657438, 23.797019299758553], [90.35427110504119, 23.797012324119915], [90.35429935416495, 23.79702713756492], [90.35432356643652, 23.79704904614153], [90.35432060913412, 23.797066906389553], [90.35428526907914, 23.797081822931982], [90.35422672373474, 23.797089176941448], [90.35415799393793, 23.79708680366531], [90.3541309211191, 23.79707798070469], [90.3540809968825, 23.79710816981933], [90.35407642783193, 23.79714152525682], [90.35404644604694, 23.79714817521973], [90.35401942160614, 23.797136964938414], [90.35400193750625, 23.79710323110754], [90.3539468817036, 23.797066464464447], [90.3539226694986, 23.797044555834002], [90.35392831810641, 23.797021965515725], [90.35398405122206, 23.797025309953995], [90.35399452593734, 23.797020713422523], [90.35398206149796, 23.796995424177883], [90.35395004164583, 23.796974575649816], [90.35395295061329, 23.796959102713636]]]}
Joanata Housing Bosti;15226;Md. Anwar Hossain R Bari;13695;Kolwala Para;7834;12;7;0;{'type': 'Polygon', 'coordinates': [[[90.35771103893343, 23.801265505680014], [90.35766272881746, 23.801247960858035], [90.35762972414071, 23.80121157323725], [90.35761483320633, 23.801177884165025], [90.35764458166116, 23.80111869060207], [90.35764406499426, 23.801015991958952], [90.3576038714521, 23.80082186425662], [90.35760933198453, 23.800552098615785], [90.35761769175808, 23.800139094560983], [90.35765549472796, 23.799810179753784], [90.35770095504817, 23.799744090983268], [90.35773982498226, 23.799747145183137], [90.35781174763103, 23.79978419963205], [90.35785450213226, 23.799851800017148], [90.35787189093536, 23.799890308135375], [90.35790777983962, 23.79991241629869], [90.35794684309501, 23.799905921221352], [90.35798605129118, 23.79989226421111], [90.35801973217563, 23.799895229434064], [90.35808382301796, 23.799934537712627], [90.35825361434874, 23.80000909080537], [90.35829151820299, 23.800059891035417], [90.3583139996605, 23.80010326263385], [90.35829395368057, 23.80019605649564], [90.35822129175573, 23.80032377093726], [90.35786026983821, 23.801105669749326], [90.35776293054226, 23.801266394918123], [90.35771103893343, 23.801265505680014]]]}
Shab Uddin Molar Bari;15224;Shuban Miar Bari;13695;Kolwala Para;7834;12;30;0;{'type': 'Polygon', 'coordinates': [[[90.35859546240562, 23.79795529889053], [90.35876969801828, 23.79796401481531], [90.358839921163, 23.79798241216368], [90.35884145587768, 23.798009185583187], [90.35883301605475, 23.798221107586425], [90.35880768363873, 23.798241689303044], [90.35873734445144, 23.798229021471442], [90.35850945157021, 23.798204102284195], [90.35843711411319, 23.79818757907059], [90.35841490060636, 23.798156630401373], [90.35842589695913, 23.79812625062705], [90.35846379902083, 23.798100152767002], [90.3586030198107, 23.79809489552028], [90.35864895382163, 23.79808230875647], [90.35866413998161, 23.79805009021737], [90.35865253633983, 23.79800786025623], [90.35860506768996, 23.797993673606026], [90.35858469794603, 23.797974219597794], [90.35859546240562, 23.79795529889053]]]}
Kusum Bibir Bari;15225;Mojom Baparir Bari;13695;Kolwala Para;7834;12;23;0;{'type': 'Polygon', 'coordinates': [[[90.35773440528268, 23.79926858944077], [90.35776316657683, 23.799181198897262], [90.35781118828716, 23.79906548074529], [90.3578552016802, 23.799045219306993], [90.35791520167497, 23.79905579990568], [90.35802455300323, 23.799090152146857], [90.35806744555748, 23.79912527618964], [90.35806471289168, 23.799157708015272], [90.35801215358781, 23.799292453598163], [90.35799704439762, 23.799320852348963], [90.3578644357515, 23.799307117164904], [90.35773440528268, 23.79926858944077]]]}
Shoponar Bari Area;15224;Shuban Miar Bari;13695;Kolwala Para;7834;12;29;0;{'type': 'Polygon', 'coordinates': [[[90.3576452021534, 23.798621754926888], [90.35764993321095, 23.798593178373523], [90.35766884573017, 23.79858203939976], [90.35773388575393, 23.798548764725936], [90.357773902341, 23.798520792779705], [90.35782095745344, 23.798452820746558], [90.3580033801187, 23.798467409388596], [90.3580854387448, 23.79851657801009], [90.35806781755225, 23.798669116800763], [90.35803810179418, 23.79870108632691], [90.35776243035089, 23.79867725789113], [90.35764861896648, 23.798658113131435], [90.3576452021534, 23.798621754926888]]]}
