City;Ward;Match ID;New ID;Mahalla Name;Settlement Name;Households;Population;Settlement Age;Condition of access roads;Availability of drains;Electricity coverage;Solid waste collection service;Access to piped water supply;Availability of hygienic toilet;Street lighting;Attendance of children at school;Households with employment;Household income;Social problems;Land tenure security;Housing condition;Risk of eviction;Land Ownership;Type of Occupancy;Total Score
Faridpur;2;2400206001;12400206001;Chowdhury Bari Elaka;Roth Khola Jora Bridge Ar Sathe;42;200;60;2;2;4;1;2;2;3;4;3;4;3;1;1;2;1;1;36
Faridpur;2;2400206003;12400206003;Chowdhury Bari Elaka;Roth Khola (Godir Par);20;90;30;2;2;4;1;2;1;1;4;3;4;2;2;1;2;2;2;35
Faridpur;2;2400206002;12400206002;Chowdhury Bari Elaka;Abder Mather Sathe;15;60;30;2;3;4;2;2;2;2;4;3;4;2;1;1;2;2;2;38
Faridpur;2;2400206004;12400206004;Chowdhury Bari Elaka;Chowdurir Bari (Nodir Par);24;100;30;2;2;4;1;2;1;1;4;3;4;3;1;1;2;2;2;35
Faridpur;2;2400206005;12400206005;Chowdhury Bari Elaka;Chowdhuri Bari (Ancholik Somobi Institute Kali Mander);18;80;5;1;1;4;1;2;1;1;3;3;4;3;1;1;2;2;1;31
Faridpur;2;2400206006;12400206006;Chowdhury Bari Elaka;Chowdhuri Bari Durga Mander;10;45;5;1;2;1;4;3;2;1;1;3;4;3;1;1;2;2;1;32
Faridpur;2;2400206008;12400206008;Chowdhury Bari Elaka;Gowal Chamt, Roth Khola Monik Bel School Ar Pashe;15;70;60;1;1;4;1;3;1;1;4;3;4;3;2;3;4;4;4;43
Faridpur;2;2400206009;12400206009;Chowdhury Bari Elaka;Roth Khola (Gowal Chomot);25;110;50;3;2;4;3;3;2;2;4;3;4;3;2;2;2;1;1;41
Faridpur;2;2400206007;12400206007;Chowdhury Bari Elaka;Chowdhuri Bari Road;15;65;60;3;3;4;2;3;2;2;4;3;4;3;4;2;4;4;4;51
Faridpur;2;2400207001;12400207001;Barisal Road;Molla Bari Sarak;35;160;90;2;1;4;2;1;2;3;4;3;4;3;2;2;2;1;2;38
Faridpur;2;2400207002;12400207002;Barisal Road;Miya Bari Masjeed Ar Shamne;8;40;40;4;4;4;1;1;1;3;3;3;4;3;1;1;2;1;1;37
Faridpur;2;2400207003;12400207003;Barisal Road;Riyaj Uddain Road;11;50;60;3;2;4;2;2;2;2;4;3;4;3;4;2;4;4;4;49
