Mahalla Name;Mahalla-ID (DB);Mahalla Name (DB);Ward-ID (DB);Ward Name (DB);Similarity (%);verify status;Coordinates
Meghna Biri Factory Merkatiz Road;2106;Meghna Biri Factory Merkatiz Road Uttor;2105;1;86;1;{'coordinates': [[[90.64583621450645, 23.22592702459965], [90.64572601213274, 23.226105171203148], [90.645180663976, 23.225706929312924], [90.64463377694616, 23.22539041528003], [90.64441951608899, 23.225725724519332], [90.64319470745612, 23.225668180778907], [90.6417082650477, 23.225721524592007], [90.64084478762027, 23.22577560981308], [90.64078477662132, 23.224372053074408], [90.64124157364638, 23.224418601769138], [90.64163529935786, 23.22452034271488], [90.64229904469259, 23.22473757576892], [90.6430666788215, 23.224887714757745], [90.64387804883138, 23.225061824933768], [90.6447064286538, 23.22518913925828], [90.64477143291144, 23.225089801896804], [90.64484952519857, 23.225124856339576], [90.64484630760246, 23.225129001513757], [90.64502344447178, 23.225217479094884], [90.64523515304515, 23.22531855288595], [90.645392852459, 23.225385436363556], [90.64572741702794, 23.22548977660716], [90.64580295878785, 23.225523673898632], [90.64582403133815, 23.225533707692442], [90.64588110071897, 23.225560203706245], [90.64592442770542, 23.225579875257964], [90.64594041657992, 23.225587134922385], [90.64599966561691, 23.22562211443772], [90.64597995373181, 23.225651698318696], [90.64583621450645, 23.22592702459965]]], 'type': 'Polygon'}
Moddho Shriramdi -03 Merkatiz road Uttor;2228;Moddoh Shriramdi- 03 Merkatiz Road Uttor;2105;1;86;1;{'coordinates': [[[90.64484952519857, 23.225124856339576], [90.64477143291144, 23.225089801896804], [90.6447064286538, 23.22518913925828], [90.64387804883138, 23.225061824933768], [90.6430666788215, 23.224887714757745], [90.64229904469259, 23.22473757576892], [90.64163529935786, 23.22452034271488], [90.64124157364638, 23.224418601769138], [90.64073877840853, 23.22436736600529], [90.64076834331131, 23.224165061287387], [90.64077174677672, 23.22402757645097], [90.64077203881114, 23.224009705850868], [90.64079808336005, 23.223990256905434], [90.64089522845453, 23.223901213983453], [90.64096659468704, 23.223881558571446], [90.6410273044818, 23.22382489968931], [90.6413273275708, 23.223533567649405], [90.64146806708811, 23.223447548062648], [90.64151555581073, 23.223435279055852], [90.64157742405781, 23.223380577341985], [90.64166233719038, 23.223352981791983], [90.64172127038665, 23.223361783915266], [90.64185896038596, 23.22341558077375], [90.64202575522278, 23.223405754102185], [90.64217938447158, 23.22338086958723], [90.64233298180521, 23.223349938850323], [90.64240493675446, 23.22334658788211], [90.64253252245291, 23.22334600870158], [90.64270605353815, 23.223372430997863], [90.6428602458996, 23.22345336245423], [90.643073163047, 23.22350379364653], [90.64337758280934, 23.223535666352007], [90.64358708357527, 23.223558901558356], [90.64382254731592, 23.223542713143146], [90.64417926268418, 23.22356527688868], [90.64437564619818, 23.223582523100976], [90.64437002282314, 23.223754882306494], [90.6443519249006, 23.224042189425322], [90.64446671622997, 23.22409608774798], [90.64479123625705, 23.22421554564564], [90.64511549706256, 23.224286628903286], [90.64533478802906, 23.224436791776657], [90.64532236116577, 23.224455325566066], [90.64528672891572, 23.224501427638184], [90.64525446617898, 23.224553852955374], [90.64521811899974, 23.22460232836764], [90.64518649758017, 23.224652948832567], [90.64517377887712, 23.22468215973664], [90.64514480589473, 23.22471984583228], [90.6450775723979, 23.224824269384108], [90.64502045830949, 23.22489702740714], [90.64498625190102, 23.224946563563964], [90.64492151685434, 23.225029858914038], [90.64490027128117, 23.225059479670378], [90.64484952519857, 23.225124856339576]]], 'type': 'Polygon'}
Refuge Colony and Bakali Potti;2322;Refuge Colony And Bakali Potti;2105;1;100;1;{'coordinates': [[[90.63917872742834, 23.226497487744307], [90.63933402754925, 23.226308196262174], [90.63946216762025, 23.226092564663546], [90.63946736666622, 23.225853593360227], [90.63941445506886, 23.22562683157628], [90.6395171183757, 23.22548299889599], [90.6396385715799, 23.22522558132432], [90.63974069673151, 23.224980198311457], [90.63972023017016, 23.224777184962107], [90.63967438305325, 23.224663892035107], [90.63945927514168, 23.224324363898926], [90.63940027865273, 23.22416931494024], [90.63917376151349, 23.224116575383693], [90.63889550355228, 23.224058095318966], [90.63891997003374, 23.22393640690691], [90.63895399441033, 23.223939193719495], [90.63902937709867, 23.223941634462893], [90.63906867524477, 23.223955955628192], [90.63912948050756, 23.223958399569252], [90.63929137060337, 23.223977604499233], [90.63945425506815, 23.223999521628162], [90.63955369390852, 23.22403476563786], [90.63960097091139, 23.22407482623795], [90.63965700738585, 23.22412290195047], [90.63985459555754, 23.224237998409667], [90.6399717089386, 23.224298684781346], [90.64011325317233, 23.224364093742157], [90.64021092897762, 23.224374929330832], [90.6407355962452, 23.224369332043484], [90.64073867741479, 23.224348250367765], [90.64078467562102, 23.224352937437075], [90.64084468660944, 23.225756495082702], [90.64101266908624, 23.226586289020467], [90.64089823601277, 23.226633413331616], [90.64072303647997, 23.226670117438537], [90.64054204570145, 23.226690568171655], [90.64030589152777, 23.22669135135972], [90.64002751887521, 23.226703126554664], [90.63990498231799, 23.226709361741513], [90.639892113009, 23.22664859798147], [90.6397449673442, 23.226666709439854], [90.63943223595066, 23.226598256687325], [90.63917872742834, 23.226497487744307]]], 'type': 'Polygon'}
Dudh Bazar;2420;Dudh Bazar;2105;1;100;1;{'coordinates': [[[90.64101266908624, 23.226586289020467], [90.64097395303982, 23.2269567891586], [90.64102690598445, 23.22767817240928], [90.64109320272775, 23.22790885553961], [90.64119730773267, 23.228036818525563], [90.64138208694226, 23.22814052043618], [90.64154454348186, 23.2283010741554], [90.64172388115934, 23.228490817764516], [90.64195477976769, 23.228978689386725], [90.64191692329022, 23.228995158694385], [90.64189983774224, 23.22900248155517], [90.64184803385717, 23.229024081079448], [90.6417113351289, 23.22904839940755], [90.64151640210858, 23.229012486969836], [90.64136977256054, 23.228941670053867], [90.64121096868489, 23.22882557016142], [90.6410360613777, 23.228724863111314], [90.64079541423942, 23.22869992864485], [90.64055422315931, 23.228685744223608], [90.64051333790455, 23.22868883771535], [90.64050551947369, 23.228688813564283], [90.64017505507694, 23.22867461107136], [90.63990582084934, 23.228703954525905], [90.63946907930557, 23.22871506625105], [90.63898261468243, 23.228723566727258], [90.63873560650944, 23.228719680708306], [90.6386889260895, 23.228716962458787], [90.63868114755645, 23.22871648998732], [90.63855966050491, 23.228702295781396], [90.6385163220957, 23.2286818634281], [90.63851564412988, 23.22868154548845], [90.63851324144026, 23.228629361698086], [90.63846153986105, 23.22863618159872], [90.63844676889929, 23.228638352749147], [90.63841381874884, 23.228643197606665], [90.63838728945835, 23.228533015677627], [90.6383589100451, 23.228300169196498], [90.63816317123194, 23.228079128921603], [90.63796048548835, 23.227888884192055], [90.63773807376522, 23.22788032935476], [90.63758261016645, 23.227818902605403], [90.63742177365248, 23.227719269000033], [90.63719822814538, 23.22749566535767], [90.63725392668354, 23.227270803169827], [90.63754873321408, 23.227279032601107], [90.63771885229826, 23.22717790855363], [90.63812722298806, 23.227147393480333], [90.63826099164957, 23.227017758142534], [90.63836824791393, 23.226763989134717], [90.63883889787486, 23.226776202201094], [90.63917872742834, 23.226497487744307], [90.63943223595066, 23.226598256687325], [90.6397449673442, 23.226666709439854], [90.639892113009, 23.22664859798147], [90.63990498231799, 23.226709361741513], [90.64002751887521, 23.226703126554664], [90.64030589152777, 23.22669135135972], [90.64054204570145, 23.226690568171655], [90.64072303647997, 23.226670117438537], [90.64089823601277, 23.226633413331616], [90.64101266908624, 23.226586289020467]]], 'type': 'Polygon'}
Kuli Bagan Nitai Gang Uttor;2507;Kuli Bagan Nital Gang Uttor;2105;1;86;1;{'coordinates': [[[90.64101266908624, 23.226586289020467], [90.641807815293, 23.226411145816236], [90.6426429706398, 23.22629310550528], [90.64335439475045, 23.226237138519515], [90.64400446161676, 23.22625720269908], [90.64427968631053, 23.22632998170911], [90.64457465359214, 23.226333204454736], [90.64501522731061, 23.226463093055543], [90.64529529399255, 23.226712484667363], [90.64517604191389, 23.226871826630553], [90.64491032772563, 23.227211500411308], [90.64472142186943, 23.227453601963045], [90.64441833027126, 23.227717238718], [90.64413295959086, 23.227948993125686], [90.6437935003543, 23.22819993462828], [90.64354716270687, 23.228348564317056], [90.643540994728, 23.228352285220033], [90.64342622466636, 23.22839815346632], [90.64333441284032, 23.228426888468388], [90.64317961133808, 23.228502462995507], [90.64293711106124, 23.22862085227733], [90.64263911058241, 23.22873346525964], [90.64231652384643, 23.228828964595092], [90.64208097916027, 23.228924021941413], [90.64207264332127, 23.228927413785495], [90.64195477976769, 23.228978689386725], [90.64172388115934, 23.228490817764516], [90.64154454348186, 23.2283010741554], [90.64138208694226, 23.22814052043618], [90.64119730773267, 23.228036818525563], [90.64109320272775, 23.22790885553961], [90.64102690598445, 23.22767817240928], [90.64097395303982, 23.2269567891586], [90.64101266908624, 23.226586289020467]]], 'type': 'Polygon'}
Mom Factory Nitai Gong Dokkhin;2576;Mom Factory Nital Gang Dokkhin;2105;1;72;1;{'coordinates': [[[90.64084468660944, 23.225756495082702], [90.6417081629367, 23.225702409868784], [90.64319460610692, 23.225649065153895], [90.64441941456515, 23.225706608899156], [90.64463367441584, 23.225371299663877], [90.64518056234388, 23.22568781369562], [90.64572591042554, 23.22608605649224], [90.64571857548842, 23.226097913428568], [90.64561430526813, 23.22625449222502], [90.64543477470815, 23.22652389724992], [90.64534282618843, 23.22664829361675], [90.6453398340042, 23.226652970858556], [90.64529529399255, 23.226712484667363], [90.64501522731061, 23.226463093055543], [90.64457465359214, 23.226333204454736], [90.64427968631053, 23.22632998170911], [90.64400446161676, 23.22625720269908], [90.64335439475045, 23.226237138519515], [90.6426429706398, 23.22629310550528], [90.641807815293, 23.226411145816236], [90.64101266908624, 23.226586289020467], [90.64084468660944, 23.225756495082702]]], 'type': 'Polygon'}
Jafor Khan-Hazi Bari (Jafrabad Uttor Pas);2684;Jafor Khan Bari/Hazi Bari(Jafor Khan Bari Uttor);2138;5;72;1;{'coordinates': [[[90.65762183318417, 23.208219101132162], [90.65752878667408, 23.208481625879593], [90.65741346763666, 23.208668539215346], [90.65730531906534, 23.208747893522542], [90.6571589769321, 23.208934950764824], [90.65706645567944, 23.20903573692744], [90.65695047231348, 23.209100790983094], [90.65689676778406, 23.2092085659373], [90.65684333581991, 23.209366517879012], [90.65682829236908, 23.209452607857887], [90.65683745000005, 23.209710625796202], [90.65687763048642, 23.209968500620082], [90.6568797349494, 23.21035558239342], [90.65695736862651, 23.21036955837339], [90.65712807198702, 23.21038310214991], [90.65732971836665, 23.210382165623166], [90.65742329382729, 23.210474919260463], [90.65765008051825, 23.210817946940566], [90.65777612164734, 23.211175778939346], [90.65789354000745, 23.21176698878565], [90.65786498677588, 23.212102893126406], [90.65768454630937, 23.2120464523306], [90.65741386676982, 23.212037783405734], [90.6569557273255, 23.212015830897897], [90.6567282161685, 23.211994964857738], [90.65643747229308, 23.211836822878993], [90.65622859910007, 23.21176760447256], [90.65599348190088, 23.211729849126804], [90.65585358028379, 23.211716377162368], [90.65574853855631, 23.21172225338202], [90.6534553872209, 23.211678920916427], [90.65336858789664, 23.211686840849755], [90.65323189589208, 23.211681517801143], [90.65322638520186, 23.21168130400747], [90.65311192022682, 23.211660252243224], [90.65297924194854, 23.211638331094257], [90.65285552072112, 23.21161179260693], [90.65285220027306, 23.211610948195478], [90.65284659934001, 23.211616500923995], [90.65284585346903, 23.21170196660164], [90.65284207528919, 23.21170105995126], [90.65260833765294, 23.211698009105135], [90.6525182355521, 23.21169424825014], [90.65250994120356, 23.21169081465317], [90.65248031274345, 23.21166278247759], [90.65247201482696, 23.211659619902022], [90.65224182337575, 23.21166282674622], [90.65203369426203, 23.21167193469842], [90.65189187163296, 23.21168045952044], [90.6517247893189, 23.211690897416165], [90.65164975869239, 23.2116963683063], [90.65153687990482, 23.211704871352886], [90.65144368108726, 23.211711531251094], [90.65140313950837, 23.21171362151965], [90.65125837600169, 23.21172179299344], [90.6510861993525, 23.21173183485649], [90.65106425001566, 23.211733114541744], [90.65105955367596, 23.211519738094413], [90.65104429441435, 23.211027978205358], [90.6510422561533, 23.21080864028639], [90.65104745970785, 23.21066459023846], [90.65105532564081, 23.210602827303173], [90.6510611636352, 23.210580231721373], [90.65107269434883, 23.210554882613536], [90.65108657807755, 23.210534662090872], [90.65110266543586, 23.210517383730455], [90.65111336501562, 23.210506488247603], [90.65112908758935, 23.2104976379605], [90.65114329370792, 23.210493725405858], [90.65123774583726, 23.210489109337065], [90.65127539757192, 23.210488170223634], [90.65132971855112, 23.210488578547274], [90.65140589929852, 23.210487419324167], [90.65147354099305, 23.210483337823554], [90.65152409763046, 23.210465125303095], [90.65155585966082, 23.210439217188647], [90.65158796830912, 23.21038985814808], [90.65161681323485, 23.21030479276501], [90.65166260089588, 23.21018759774991], [90.65171264282817, 23.210102187971998], [90.651738149447, 23.21008435018347], [90.6517546871167, 23.21007732124994], [90.65180292566335, 23.21007391713253], [90.65187434130411, 23.210068516272198], [90.6518972610612, 23.21006263343833], [90.65191520124226, 23.21005116406881], [90.65192976046734, 23.210038457553445], [90.65194814468414, 23.210016173090647], [90.65200097416765, 23.209936860206977], [90.65205172512985, 23.20984616181112], [90.65205525984132, 23.20983779557152], [90.6520859777056, 23.209734135656145], [90.65210427201832, 23.209665144995757], [90.65210843171802, 23.209572687566137], [90.65210561312544, 23.209477068389642], [90.65210329893391, 23.209429595441502], [90.65210123647843, 23.209420902803856], [90.65209737330011, 23.209412134522122], [90.65209230493173, 23.20940456096511], [90.65207332980208, 23.209384612984486], [90.65206567778432, 23.20937977558209], [90.65201140891003, 23.20936543834091], [90.6519514841751, 23.209349147062536], [90.65194400739806, 23.20934416619644], [90.65193270487266, 23.209332891198855], [90.65192682143699, 23.209318078756553], [90.65192570789547, 23.20930935598582], [90.65193560923332, 23.209231671836967], [90.65199264834911, 23.209004368001704], [90.65202788442896, 23.208887589700165], [90.65204332795734, 23.208836593194672], [90.65209110158187, 23.20874130539459], [90.65211641947425, 23.208692496542], [90.65213695138767, 23.208664090098637], [90.65214075117095, 23.208657987487733], [90.65225696417461, 23.20869841802688], [90.65232141377972, 23.208881176542807], [90.65251299182647, 23.208915235471117], [90.65263235913613, 23.20892043776175], [90.65269795611395, 23.208769032125428], [90.65275059410592, 23.20862835617774], [90.65287552927582, 23.208610211265544], [90.65303329410023, 23.208627921733445], [90.65306272376962, 23.208673891817146], [90.65306307253965, 23.208673256208648], [90.65312025145826, 23.20856906255662], [90.6531306080589, 23.208474195396956], [90.65315421364339, 23.2083945228855], [90.65325031333, 23.208350558259507], [90.65329220354803, 23.208274068221154], [90.65336067608517, 23.208158880631238], [90.65342261057316, 23.208154799435142], [90.6535363771067, 23.20815382996066], [90.6535420598579, 23.208139612718565], [90.65360302130632, 23.20798712567982], [90.65362214448105, 23.207965569679207], [90.65367037696872, 23.207967517451145], [90.6536923061855, 23.2079373208628], [90.65370743890298, 23.207849908239705], [90.65372568373395, 23.207699843522633], [90.65374219122184, 23.207621398281404], [90.65376053282355, 23.207534230676814], [90.6537920166767, 23.20740336248552], [90.65501326023036, 23.207607526008182], [90.65599698312268, 23.207853860390355], [90.65731681500964, 23.208103303011562], [90.65762183318417, 23.208219101132162]]], 'type': 'Polygon'}
oyabda Beri Badher Dokkhin-Joinal Khan;2788;Oyabda Beribad Dokkhin/Joinal Khan Bari Bari;2138;5;79;1;{'coordinates': [[[90.6671292950702, 23.19968907718064], [90.6661471223916, 23.20144393732863], [90.66601187503501, 23.20223308951699], [90.66527053863233, 23.202810043127684], [90.6638132750069, 23.20294591854975], [90.66140830036838, 23.202308147146], [90.66140854154246, 23.202223687187693], [90.66142268189392, 23.20212343042064], [90.66144099772615, 23.20210129241144], [90.66149250778335, 23.20208927161491], [90.66154882764292, 23.20208148902685], [90.66158847618955, 23.2020653897088], [90.66160352713774, 23.202004222999605], [90.66161346470966, 23.20192579376261], [90.66162263174469, 23.20186475929394], [90.66162975344939, 23.20176684191953], [90.66164300758206, 23.201729613729917], [90.66167339664952, 23.20172024543825], [90.66169442577086, 23.201713258020806], [90.66174768658712, 23.201675138872865], [90.66174590120525, 23.201599146518937], [90.6617359230368, 23.201475547105154], [90.66173581532469, 23.201371277874824], [90.66174685354152, 23.201240693796624], [90.66178184828023, 23.201226882349438], [90.66187558602302, 23.201207422585238], [90.66194369284882, 23.201199395150795], [90.66199276648737, 23.201183101606535], [90.66198394030597, 23.201059482001646], [90.6619733137616, 23.20090983506826], [90.66196568420457, 23.20088611054715], [90.66189762827015, 23.20089630313371], [90.66174275076705, 23.20091928752681], [90.66159254540048, 23.200940002750304], [90.66152521222014, 23.20094415406384], [90.66152035183855, 23.200861512329464], [90.66151087712197, 23.200706900145708], [90.66161786909274, 23.200704524307383], [90.66173039724367, 23.20069135161355], [90.66179974331885, 23.20068714657981], [90.6617807968248, 23.200620834560898], [90.66174101071441, 23.200477270627392], [90.66172260160796, 23.20041270434467], [90.66172067238362, 23.200405957114636], [90.66184753915014, 23.200387137644743], [90.66200584723688, 23.200351615412885], [90.6621008522945, 23.200330841220257], [90.66229679296559, 23.2002944999754], [90.66238911486514, 23.200281793992588], [90.66257107359161, 23.200264449357], [90.66270990555381, 23.20025873176404], [90.66281753020282, 23.20024124462195], [90.66293776001734, 23.200221709673222], [90.66303861157937, 23.200200819045225], [90.66325191129437, 23.20015879358729], [90.66338462792072, 23.200137217362446], [90.66349992026657, 23.200113356729005], [90.6636963622146, 23.20009040849979], [90.66380614294378, 23.200077353422817], [90.66372964912418, 23.19988876051178], [90.66372137703918, 23.1998683640641], [90.66394903891783, 23.199818071850384], [90.66412209087956, 23.19978498670327], [90.66431859304673, 23.199762084427846], [90.66458181421478, 23.199740443963684], [90.66485699416184, 23.199731924451157], [90.66494089315266, 23.199724810055677], [90.66492014214745, 23.199589150438904], [90.66509083937537, 23.199574868633007], [90.66526307992015, 23.19955686910622], [90.66537859398825, 23.199544805886806], [90.66551764563808, 23.19953923124737], [90.66554246710426, 23.199488008618186], [90.66556858682978, 23.199372711351657], [90.66564947387558, 23.19936035175662], [90.6657251007472, 23.199369455672265], [90.66582931695837, 23.199361958542358], [90.66585214958245, 23.199462897534932], [90.6658792869458, 23.1996197942229], [90.66598149117128, 23.199647044285598], [90.66621505137783, 23.199706307967336], [90.66637877860651, 23.199756352861527], [90.66650600370758, 23.19979647791859], [90.66659307278387, 23.19979738913454], [90.66663057112702, 23.199788626648953], [90.66666220071521, 23.1997773135359], [90.66664485422713, 23.199665561679982], [90.6666213051121, 23.19953792247674], [90.66665300064079, 23.199529275811035], [90.66676865691015, 23.19951360204074], [90.66691325011725, 23.199494688036754], [90.66706641152066, 23.199470278560653], [90.66707026542484, 23.199507571966898], [90.66708343418108, 23.19956870263663], [90.6671086143218, 23.199645613794043], [90.6671292950702, 23.19968907718064]]], 'type': 'Polygon'}
G.C.R. baliya Road-Shekh Jalil Bari;2139;G.C Baliya Bari Purbo Pash/Shekh Bari/Jalil Bari;2138;5;61;1;{'coordinates': [[[90.66249841259513, 23.2061737749705], [90.66383142731051, 23.206167961233223], [90.66355061983133, 23.206961076854533], [90.66346260511544, 23.207372969852983], [90.6634196016068, 23.20750700769495], [90.66338858266798, 23.20774460059022], [90.66336768141218, 23.208230852491717], [90.66330733445817, 23.208544194825553], [90.66330737566939, 23.2086836194248], [90.66333143111315, 23.209070897334396], [90.66336260508001, 23.209194076473754], [90.66340925294061, 23.20941797834359], [90.66344245635861, 23.209700356357146], [90.6634499522752, 23.21034492796043], [90.66354648466915, 23.211044497228794], [90.66358510968357, 23.212087796476837], [90.66359071970308, 23.21223931429164], [90.66369542136212, 23.212999149928827], [90.66371448037401, 23.213328432993695], [90.66368690003328, 23.213350488401005], [90.66368207695331, 23.213354345326877], [90.66357299018739, 23.21344834862489], [90.66343363290538, 23.213606945168063], [90.66333204847176, 23.21376132799564], [90.66328532795988, 23.21385165333743], [90.66328424996213, 23.213852663324275], [90.66313381766102, 23.213865514746505], [90.66291182708937, 23.21395202507246], [90.66276684104001, 23.214002956040503], [90.66276252244077, 23.214004472011943], [90.6626182795052, 23.213994843831014], [90.66255516872391, 23.213996332870924], [90.66255384942617, 23.213973983864374], [90.66254487501762, 23.213969089322344], [90.66219664032032, 23.213972831542176], [90.66203414966174, 23.213977232063783], [90.66203862245953, 23.21375095116427], [90.66203918509326, 23.213722515514032], [90.66175177500644, 23.213740745337486], [90.66151260575387, 23.213754062513726], [90.66151206564133, 23.213740050948125], [90.66150977356345, 23.21372615154144], [90.66123317730694, 23.21374095094323], [90.6609498645087, 23.213760594807397], [90.66093806224964, 23.213761413167504], [90.66066222428243, 23.213757523261968], [90.66047033806004, 23.213786227716533], [90.66036521682864, 23.21378952647654], [90.66022107420696, 23.213792481293613], [90.66021763402956, 23.213792552647153], [90.66022545116768, 23.21394245066178], [90.66021013090719, 23.21404843224917], [90.66012424841509, 23.21408501121004], [90.6600203517182, 23.21410224978833], [90.66001602036721, 23.214102968070673], [90.65987283308858, 23.214104085645978], [90.65979997868918, 23.214080389912745], [90.65977571383829, 23.214063616022294], [90.65975673887992, 23.214025161854817], [90.65945504987545, 23.214046250527485], [90.65944070717867, 23.214047252873577], [90.65952148578558, 23.213925672241917], [90.65963627325043, 23.213747670436604], [90.65975025283043, 23.213555688811407], [90.65975488947137, 23.213547876967706], [90.65984060138923, 23.213345475246758], [90.65984395514458, 23.213329601767803], [90.659917506266, 23.213151180158356], [90.66001645023773, 23.212962561409103], [90.66010492134417, 23.21279869348252], [90.66005255828529, 23.212810236879736], [90.66004850703376, 23.21281125932287], [90.66000914152139, 23.212821187149608], [90.66037160659843, 23.212274006594384], [90.66094108367788, 23.211301237453544], [90.66183724167836, 23.209860739003727], [90.6622374523442, 23.20913850918067], [90.66256496048479, 23.208817768274898], [90.66260060871443, 23.208205099379676], [90.66253504817348, 23.20679408373437], [90.66249841259513, 23.2061737749705]]], 'type': 'Polygon'}
Oyabda Beri Badher Uttor-Bosarot Gazi Bari;2745;Oyabda Beribad Uttor/Bosarot Gazi Bari;2138;5;83;1;{'coordinates': [[[90.6537920166767, 23.20740336248552], [90.65380132079747, 23.20736468699815], [90.65383899136772, 23.207208106870763], [90.65387804032318, 23.207055218466476], [90.65389757428642, 23.20696687061178], [90.65391116373515, 23.206905416179225], [90.65395642716413, 23.20674680621853], [90.65399294965246, 23.206531718216816], [90.65401619986784, 23.206284601554714], [90.6540420351348, 23.206201557319442], [90.65409856432106, 23.206161628525138], [90.65411418313158, 23.206138030080414], [90.65419225089379, 23.206003209200098], [90.65425402890975, 23.205898135108303], [90.65437873450891, 23.205677445248952], [90.65444790388388, 23.20557294197576], [90.65448897954512, 23.20553802053386], [90.65451686652008, 23.205487821179556], [90.65457014171326, 23.205391923469367], [90.65466693010363, 23.20514136241806], [90.65469740207627, 23.205062477735282], [90.65475166596273, 23.204940879696803], [90.65477959087742, 23.20488988608258], [90.6548173112285, 23.20488570821253], [90.6550630002597, 23.204870994903846], [90.65512815416433, 23.204861623116624], [90.65519929213, 23.204851388962947], [90.65519849155862, 23.204773377895858], [90.65519960089554, 23.204609590908685], [90.65520587738862, 23.20451795204575], [90.65522843469013, 23.20432066846836], [90.65524694061584, 23.204158829838672], [90.65526487150164, 23.204078316122047], [90.6553163705375, 23.203847068393266], [90.65533882137674, 23.20377793627741], [90.65555637248737, 23.20378168673998], [90.65566427128826, 23.2037835469934], [90.655688586756, 23.20365131439845], [90.65570644605383, 23.203554189896526], [90.65572826521336, 23.203326982714717], [90.65574239120254, 23.203156583039284], [90.65582700753825, 23.203146100925405], [90.65595189400437, 23.20312171614273], [90.65607132846796, 23.203092660124327], [90.65636820300925, 23.20295516402635], [90.65639692271225, 23.202926834897056], [90.65653076605179, 23.20281497581087], [90.65657851549354, 23.202796841181303], [90.65664155195778, 23.202773989513286], [90.65704703166958, 23.202680344255054], [90.65733120454753, 23.202617360887448], [90.65781595518266, 23.20247494233508], [90.6583292495131, 23.202349202704507], [90.6585137659755, 23.202269724145623], [90.65868683214339, 23.20216201174099], [90.65870485012582, 23.20215079694205], [90.65890027916907, 23.202051207663693], [90.65906208313365, 23.202013708896168], [90.65925143544423, 23.201999574731456], [90.6595565355042, 23.20199815237554], [90.65974193481898, 23.202031495048367], [90.65999596353747, 23.20213404528881], [90.66012555015666, 23.202186864146018], [90.6604977417974, 23.20233856200813], [90.66083091478026, 23.20243814709956], [90.66097491216307, 23.202483463718718], [90.6612664474528, 23.202571776294043], [90.66136946360744, 23.20260524916779], [90.66139665264699, 23.202596389421014], [90.66139687855355, 23.202532462048346], [90.66140802547203, 23.202404026646406], [90.66140830036838, 23.202308147146], [90.66255446192032, 23.20261210184892], [90.66256898144194, 23.20469585176155], [90.66264990578665, 23.205125454189503], [90.66269837438239, 23.205544145156246], [90.66254536600049, 23.20578138277299], [90.66249841259513, 23.2061737749705], [90.66253504817348, 23.20679408373437], [90.66260060871443, 23.208205099379676], [90.66258208903595, 23.20852338823376], [90.6611085476303, 23.208407198150656], [90.66026078463327, 23.208271119076322], [90.6589496265281, 23.20811081955147], [90.65892348456315, 23.208304970279627], [90.65762570005236, 23.208220569189702], [90.65731681500964, 23.208103303011562], [90.65599698312268, 23.207853860390355], [90.65501326023036, 23.207607526008182], [90.6537920166767, 23.20740336248552]]], 'type': 'Polygon'}
