City;Ward;Match ID;New ID;Mahalla Name;Settlement Name;Households;Population;Settlement Age;Condition of access roads;Availability of drains;Electricity coverage;Solid waste collection service;Access to piped water supply;Availability of hygienic toilet;Street lighting;Attendance of children at school;Households with employment;Household income;Social problems;Land tenure security;Housing condition;Risk of eviction;Land Ownership;Type of Occupancy;Total Score
Barisal;29;62902011;10402902011;Baghia Lutfor Rahman Road;Khan BAri;22;88;20;2;1;4;1;2;3;3;3;3;4;2;4;2;4;3;4;45
Barisal;29;62902010;10402902010;Baghia Lutfor Rahman Road;Hawladar Salam AR Bari;45;180;38;1;1;4;4;2;1;4;4;3;3;2;4;4;4;4;4;49
Barisal;29;62902009;10402902009;Baghia Lutfor Rahman Road;Humaor Kobir Thake Koberer Bari;38;190;26;2;1;4;1;3;1;1;2;3;4;3;1;4;4;4;4;42
Barisal;29;62902008;10402902008;Baghia Lutfor Rahman Road;Lotfor Rahman Sarak Notulla Bad;25;125;25;1;1;4;1;1;1;1;3;3;4;3;4;2;4;4;4;41
Barisal;29;62902007;10402902007;Baghia Lutfor Rahman Road;Nur Alom Miyar Bari;13;65;35;2;1;4;1;1;1;1;3;3;4;3;4;2;4;1;4;39
Barisal;29;62902006;10402902006;Baghia Lutfor Rahman Road;Lotfor Rahman Goli 3;80;400;30;2;1;4;1;1;1;1;2;3;4;3;3;2;4;3;4;39
Barisal;29;62902005;10402902005;Baghia Lutfor Rahman Road;Lotfor Rahman Sarak Goli-2;30;150;35;2;3;4;1;1;1;1;3;3;4;3;4;2;4;3;4;43
Barisal;29;62902004;10402902004;Baghia Lutfor Rahman Road;Lotfor Rahman Sarak Goli-1;60;300;30;2;2;4;2;3;1;4;1;3;3;1;1;4;2;4;4;41
Barisal;29;62902003;10402902003;Baghia Lutfor Rahman Road;Dokkhin Bager Lotfor Rahman;25;125;42;2;1;3;1;2;1;4;2;3;3;3;2;4;4;4;4;43
Barisal;29;62902002;10402902002;Baghia Lutfor Rahman Road;Lutfor Rahman Sarak;15;75;37;2;3;4;1;1;3;3;3;2;3;2;4;4;4;4;4;47
Barisal;29;62902001;10402902001;Baghia Lutfor Rahman Road;Khal Par Sarak Nehar Miyar bari;34;170;120;1;1;4;1;1;2;2;2;2;4;1;4;2;4;4;4;39
Barisal;29;62903007;10402903007;Purbo Ishakathi Baghia;Shevdar Bari;130;650;200;1;1;3;1;1;1;2;3;1;4;2;1;2;4;2;4;33
Barisal;29;62903006;10402903006;Purbo Ishakathi Baghia;Khalek Miyar Bari;50;250;100;1;1;4;1;1;3;1;3;3;4;3;4;4;4;4;4;45
Barisal;29;62903005;10402903005;Purbo Ishakathi Baghia;Ansar Molla Bari;80;400;90;2;1;4;1;4;2;1;1;3;4;3;3;4;4;4;4;45
Barisal;29;62903008;10402903008;Purbo Ishakathi Baghia;Fokir Hawladar Bari;100;500;100;1;1;3;1;1;1;2;3;1;1;3;4;1;4;4;4;35
